projectnummer,programma,realisatiejaar,categorie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIÃ‹LE,SHAPEAREA,SHAPELEN,buurt_naam
SCE2110226,SCE,2023,Zonne-energie,52.495598,6.1092469,25,104,513,Geren,Geren,205937.07590637502,2476.80358966561,Geren
SCE2112288,SCE,2023,Zonne-energie,52.49503,6.1096136,25,104,513,Geren,Geren,205937.07590637502,2476.80358966561,Geren
SCE2112429,SCE,2023,Zonne-energie,52.495169,6.1087527,25,104,513,Geren,Geren,205937.07590637502,2476.80358966561,Geren
SCE2114469,SCE,2024,Zonne-energie,52.484701,6.1117188,45,124,510,Oud Ittersum,Oud-Ittersum,352962.888170011,2585.98078242098,Oud-Ittersum
SCE2114704,SCE,2023,Zonne-energie,52.49503,6.1096136,25,104,513,Geren,Geren,205937.07590637502,2476.80358966561,Geren
SCE2115120,SCE,2023,Zonne-energie,52.495169,6.1087527,25,104,513,Geren,Geren,205937.07590637502,2476.80358966561,Geren
SCE2115577,SCE,2022,Zonne-energie,52.496905,6.1097983,25,104,513,Geren,Geren,205937.07590637502,2476.80358966561,Geren
SCE2116115,SCE,2023,Zonne-energie,52.522945,6.1094185,23,102,115,Hogenkamp,Hogenkamp,725490.5781418971,3731.5269156979803,Hogenkamp
SCE2118038,SCE,2022,Zonne-energie,52.496167,6.1095245,25,104,513,Geren,Geren,205937.07590637502,2476.80358966561,Geren
SCE2118733,SCE,2023,Zonne-energie,52.495511,6.1098565,25,104,513,Geren,Geren,205937.07590637502,2476.80358966561,Geren
