buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum,year
wipstrik-noord,1296,1299,3091,190.0,350.0,223.0,223.0,638.0,646.0,363.0,282.0,123.0,53.0,763,1870,458,36300.0,2,2017
wipstrik-zuid,1857,1861,3405,145.0,225.0,170.0,277.0,873.0,640.0,390.0,362.0,220.0,103.0,540,2180,685,26500.0,13,2017
stationsbuurt,563,569,1391,75.0,105.0,75.0,292.0,341.0,233.0,107.0,86.0,45.0,32.0,255,973,163,32500.0,11,2017
oud-assendorp,2095,2097,4166,205.0,253.0,145.0,922.0,1333.0,709.0,286.0,154.0,83.0,76.0,603,3250,313,27300.0,7,2017
nieuw-assendorp,1408,1408,3172,202.0,336.0,182.0,439.0,787.0,632.0,279.0,198.0,89.0,28.0,720,2137,315,27000.0,9,2017
wezenlanden,340,381,631,16.0,47.0,29.0,31.0,105.0,128.0,103.0,107.0,42.0,23.0,92,367,172,24600.0,16,2017
pierik,1135,1146,2185,106.0,195.0,123.0,135.0,619.0,472.0,258.0,198.0,64.0,15.0,424,1484,277,24000.0,14,2017
bedrijventerrein marslanden-noord,0,13,32,0.0,2.0,7.0,4.0,2.0,12.0,5.0,0.0,0.0,0.0,9,23,0,,-,2017
hanzeland,522,522,999,26.0,50.0,62.0,133.0,214.0,207.0,116.0,116.0,56.0,19.0,138,670,191,32300.0,4,2017
kamperpoort,750,750,1380,39.0,56.0,50.0,239.0,366.0,175.0,118.0,114.0,96.0,127.0,145,898,337,22000.0,20,2017
veerallee,598,598,1610,85.0,176.0,144.0,234.0,291.0,337.0,148.0,110.0,62.0,23.0,405,1010,195,38500.0,5,2017
bedrijventerrein voorst-a,43,43,61,1.0,1.0,0.0,13.0,33.0,10.0,3.0,0.0,0.0,0.0,2,59,0,,-,2017
bedrijventerrein voorst-b,0,0,8,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0,8,0,,-,2017
spoolde,115,115,296,6.0,27.0,29.0,18.0,19.0,77.0,52.0,52.0,14.0,2.0,62,166,68,34400.0,4,2017
oud-westenholte,975,981,2451,126.0,285.0,204.0,180.0,456.0,468.0,303.0,218.0,158.0,53.0,615,1407,429,28600.0,6,2017
westenholte-stins,1101,1106,2728,119.0,291.0,233.0,206.0,444.0,591.0,462.0,297.0,75.0,10.0,643,1703,382,27900.0,6,2017
vreugderijk,65,65,183,3.0,18.0,18.0,19.0,11.0,38.0,40.0,24.0,12.0,0.0,39,108,36,,-,2017
bedrijventerrein voorst-c,1,2,6,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0,5,1,,-,2017
bedrijventerrein voorst-d,1,1,5,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0,4,1,,-,2017
frankhuis,2163,2210,6393,409.0,1116.0,713.0,328.0,1430.0,1782.0,344.0,165.0,84.0,22.0,2238,3884,271,31300.0,5,2017
mastenbroek,19,19,63,1.0,7.0,7.0,7.0,9.0,15.0,10.0,6.0,1.0,0.0,15,41,7,,-,2017
schoonhorst,1864,1864,4397,232.0,550.0,372.0,309.0,944.0,1120.0,411.0,276.0,150.0,33.0,1154,2784,459,30100.0,6,2017
werkeren,1407,1430,4542,445.0,943.0,348.0,147.0,1261.0,926.0,140.0,117.0,111.0,104.0,1736,2474,332,32900.0,4,2017
milligen,2811,2814,7189,387.0,956.0,732.0,408.0,1375.0,1877.0,619.0,561.0,213.0,61.0,2075,4279,835,30700.0,4,2017
de tippe,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-,2017
breecamp,453,453,1273,153.0,209.0,92.0,68.0,523.0,188.0,32.0,8.0,0.0,0.0,454,811,8,30100.0,7,2017
breezicht,4,4,10,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,2,7,1,,-,2017
stadsbroek,20,20,61,0.0,4.0,9.0,10.0,3.0,13.0,11.0,10.0,1.0,0.0,13,37,11,,-,2017
holtenbroek iv,1624,1624,3108,109.0,217.0,157.0,303.0,583.0,532.0,346.0,364.0,323.0,174.0,483,1764,861,21100.0,22,2017
holtenbroek i,890,891,1888,141.0,210.0,119.0,143.0,631.0,335.0,144.0,112.0,40.0,13.0,470,1253,165,27800.0,8,2017
holtenbroek ii,1318,1322,2647,157.0,292.0,166.0,311.0,848.0,504.0,163.0,132.0,66.0,8.0,615,1826,206,21900.0,19,2017
holtenbroek iii,1078,1083,2354,102.0,260.0,164.0,226.0,592.0,502.0,252.0,148.0,93.0,15.0,526,1572,256,22100.0,17,2017
aa-landen-zuid,1048,1048,2210,98.0,170.0,158.0,171.0,350.0,499.0,242.0,263.0,209.0,50.0,426,1262,522,24000.0,12,2017
aa-landen-midden,1987,1987,3721,123.0,289.0,190.0,203.0,695.0,651.0,444.0,444.0,432.0,250.0,602,1993,1126,24900.0,13,2017
aa-landen-noord,1593,1597,3838,162.0,388.0,272.0,256.0,506.0,743.0,528.0,644.0,277.0,62.0,822,2033,983,29500.0,5,2017
aa-landen-oost,1432,1437,3289,162.0,310.0,213.0,188.0,520.0,603.0,512.0,571.0,184.0,26.0,685,1823,781,28800.0,6,2017
brinkhoek,265,265,611,14.0,37.0,48.0,34.0,49.0,120.0,92.0,135.0,66.0,16.0,99,295,217,65000.0,2,2017
langenholte,43,43,110,4.0,4.0,16.0,8.0,9.0,28.0,23.0,13.0,4.0,1.0,24,68,18,,-,2017
haerst,107,108,268,6.0,10.0,30.0,24.0,32.0,56.0,57.0,35.0,11.0,7.0,46,169,53,36500.0,5,2017
berkum,1656,1673,3736,163.0,311.0,265.0,217.0,458.0,703.0,492.0,485.0,436.0,206.0,739,1870,1127,33100.0,5,2017
bedrijventerrein de vrolijkheid,9,11,5,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1,4,0,,-,2017
veldhoek,99,99,244,5.0,12.0,32.0,21.0,27.0,43.0,42.0,32.0,24.0,6.0,49,133,62,,-,2017
kantorenterrein oosterenk,5,5,20,0.0,0.0,6.0,3.0,3.0,1.0,1.0,4.0,2.0,0.0,6,8,6,,-,2017
bedrijventerrein hessenpoort,29,29,73,3.0,6.0,8.0,5.0,9.0,16.0,14.0,3.0,8.0,1.0,17,44,12,,-,2017
tolhuislanden,54,54,180,9.0,18.0,17.0,29.0,29.0,35.0,21.0,15.0,7.0,0.0,44,114,22,,-,2017
herfte,139,139,388,14.0,31.0,53.0,33.0,34.0,75.0,75.0,42.0,25.0,6.0,98,217,73,39500.0,0,2017
bedrijventerrein marslanden-zuid,9,9,152,0.0,7.0,6.0,10.0,60.0,54.0,13.0,0.0,2.0,0.0,13,137,2,,-,2017
wijthmen,248,249,622,32.0,55.0,38.0,55.0,89.0,118.0,106.0,68.0,50.0,11.0,125,368,129,30500.0,2,2017
oud-schelle,484,484,1377,80.0,191.0,125.0,97.0,202.0,335.0,156.0,118.0,52.0,21.0,396,790,191,36900.0,1,2017
schellerhoek,368,371,1007,35.0,93.0,95.0,103.0,129.0,281.0,193.0,68.0,8.0,2.0,223,706,78,36900.0,1,2017
schellerbroek,694,694,1482,42.0,92.0,94.0,153.0,260.0,301.0,281.0,155.0,79.0,25.0,228,995,259,32800.0,6,2017
schellerlanden,1192,1200,2753,98.0,211.0,193.0,205.0,337.0,553.0,600.0,368.0,154.0,34.0,502,1695,556,31600.0,6,2017
oldenelerlanden-oost,1005,1005,2436,129.0,235.0,193.0,180.0,446.0,564.0,433.0,181.0,55.0,20.0,557,1623,256,29200.0,5,2017
oldenelerlanden-west,556,556,1458,57.0,146.0,127.0,124.0,204.0,351.0,321.0,98.0,26.0,4.0,330,1000,128,37400.0,5,2017
oldenelerbroek,1441,1446,3369,99.0,316.0,315.0,255.0,515.0,892.0,520.0,284.0,144.0,29.0,730,2182,457,30600.0,7,2017
schelle-zuid en oldeneel,69,69,179,1.0,18.0,19.0,16.0,7.0,33.0,34.0,31.0,17.0,3.0,38,90,51,,-,2017
katerveer-engelse werk,199,204,591,18.0,70.0,67.0,31.0,53.0,156.0,75.0,61.0,29.0,31.0,155,315,121,50400.0,3,2017
oud-ittersum,521,521,1308,70.0,118.0,113.0,96.0,204.0,281.0,162.0,134.0,100.0,30.0,301,743,264,30100.0,3,2017
ittersumerlanden,1868,1868,3865,180.0,357.0,222.0,261.0,828.0,762.0,543.0,322.0,223.0,167.0,759,2394,712,25000.0,11,2017
ittersumerbroek,981,1006,2430,91.0,196.0,244.0,216.0,318.0,624.0,417.0,196.0,103.0,25.0,531,1575,324,30600.0,6,2017
geren,450,453,810,22.0,46.0,47.0,117.0,228.0,183.0,102.0,40.0,23.0,2.0,115,630,65,22800.0,15,2017
gerenlanden,1205,1205,3183,158.0,341.0,292.0,266.0,521.0,731.0,497.0,288.0,70.0,19.0,791,2015,377,30500.0,4,2017
gerenbroek,1192,1192,3167,148.0,381.0,304.0,200.0,537.0,728.0,573.0,247.0,44.0,5.0,833,2038,296,30700.0,4,2017
oude mars,18,18,92,2.0,17.0,8.0,5.0,4.0,34.0,19.0,3.0,0.0,0.0,27,62,3,,-,2017
windesheim,153,153,398,26.0,47.0,22.0,31.0,74.0,83.0,54.0,43.0,14.0,4.0,95,242,61,30600.0,3,2017
harculo en hoog-zuthem,139,139,500,7.0,41.0,38.0,22.0,37.0,98.0,100.0,75.0,45.0,37.0,86,257,157,,4,2017
binnenstad-zuid,1381,1382,2242,40.0,59.0,66.0,462.0,926.0,326.0,156.0,140.0,55.0,12.0,165,1870,207,30400.0,10,2018
binnenstad-noord,571,574,848,14.0,11.0,11.0,148.0,394.0,126.0,55.0,67.0,19.0,3.0,36,723,89,28600.0,10,2018
noordereiland,348,365,590,12.0,18.0,20.0,50.0,139.0,126.0,93.0,98.0,25.0,9.0,50,408,132,36100.0,9,2018
het noorden,1030,1035,1478,45.0,41.0,19.0,433.0,479.0,191.0,98.0,72.0,78.0,22.0,105,1201,172,22000.0,23,2018
schildersbuurt,175,175,368,13.0,31.0,16.0,44.0,81.0,81.0,44.0,33.0,23.0,2.0,60,250,58,26200.0,12,2018
bollebieste,941,941,1741,77.0,125.0,89.0,183.0,475.0,320.0,162.0,132.0,118.0,60.0,291,1140,310,22100.0,19,2018
dieze-centrum,559,561,983,35.0,43.0,43.0,179.0,324.0,161.0,93.0,63.0,34.0,8.0,121,757,105,25000.0,13,2018
bagijneweide,430,442,793,16.0,29.0,28.0,155.0,173.0,134.0,76.0,81.0,71.0,30.0,73,538,182,32400.0,6,2018
hogenkamp,1951,1960,3247,162.0,210.0,123.0,360.0,1209.0,507.0,233.0,165.0,149.0,129.0,495,2309,443,23000.0,16,2018
indischebuurt,581,581,1029,46.0,88.0,51.0,125.0,334.0,184.0,87.0,70.0,33.0,11.0,185,730,114,20400.0,26,2018
meppelerstraatweg-zuid,264,264,367,14.0,16.0,5.0,23.0,211.0,59.0,23.0,11.0,4.0,1.0,35,316,16,20500.0,21,2018
bedrijventerrein floresstraat,185,186,436,41.0,77.0,15.0,13.0,137.0,92.0,28.0,16.0,17.0,0.0,133,270,33,29400.0,3,2018
wipstrik-noord,1297,1300,3080,184.0,348.0,222.0,207.0,652.0,651.0,356.0,281.0,126.0,53.0,754,1866,460,36900.0,2,2018
wipstrik-zuid,1854,1858,3436,138.0,234.0,155.0,291.0,884.0,635.0,393.0,384.0,221.0,101.0,527,2203,706,26700.0,12,2018
stationsbuurt,573,579,1365,55.0,102.0,68.0,285.0,343.0,216.0,121.0,93.0,45.0,37.0,225,965,175,33900.0,9,2018
oud-assendorp,2107,2109,4083,181.0,263.0,144.0,878.0,1323.0,728.0,288.0,155.0,87.0,36.0,588,3217,278,27500.0,8,2018
nieuw-assendorp,1408,1408,3084,179.0,325.0,192.0,424.0,749.0,622.0,277.0,204.0,87.0,25.0,696,2072,316,27500.0,9,2018
wezenlanden,390,431,700,16.0,53.0,29.0,32.0,122.0,138.0,116.0,121.0,48.0,25.0,98,408,194,24800.0,16,2018
pierik,1134,1144,2132,105.0,176.0,115.0,123.0,615.0,459.0,254.0,207.0,68.0,10.0,396,1451,285,24400.0,13,2018
bedrijventerrein marslanden-noord,0,13,32,0.0,2.0,5.0,5.0,1.0,11.0,7.0,1.0,0.0,0.0,7,24,1,,-,2018
hanzeland,522,522,991,24.0,51.0,50.0,126.0,213.0,214.0,114.0,119.0,63.0,17.0,125,667,199,31900.0,5,2018
kamperpoort,810,810,1468,39.0,69.0,54.0,251.0,426.0,176.0,111.0,122.0,97.0,123.0,162,964,342,22900.0,21,2018
veerallee,627,627,1718,100.0,204.0,141.0,227.0,346.0,344.0,163.0,111.0,61.0,21.0,445,1080,193,36300.0,4,2018
bedrijventerrein voorst-a,43,43,60,1.0,1.0,0.0,12.0,32.0,10.0,4.0,0.0,0.0,0.0,2,58,0,,-,2018
bedrijventerrein voorst-b,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-,2018
spoolde,117,117,313,8.0,27.0,34.0,18.0,24.0,77.0,49.0,57.0,16.0,3.0,69,168,76,35900.0,4,2018
oud-westenholte,1007,1013,2510,129.0,287.0,213.0,212.0,444.0,479.0,308.0,219.0,159.0,60.0,629,1443,438,29100.0,7,2018
westenholte-stins,1101,1106,2703,118.0,281.0,241.0,198.0,433.0,577.0,438.0,322.0,85.0,10.0,640,1646,417,28400.0,6,2018
vreugderijk,65,65,185,1.0,18.0,22.0,18.0,13.0,40.0,40.0,24.0,9.0,0.0,41,111,33,,-,2018
bedrijventerrein voorst-c,1,2,5,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0,4,1,,-,2018
bedrijventerrein voorst-d,1,1,6,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0,5,1,,-,2018
frankhuis,2223,2270,6509,415.0,1066.0,751.0,361.0,1430.0,1812.0,380.0,186.0,88.0,20.0,2232,3983,294,31800.0,5,2018
mastenbroek,19,19,58,1.0,7.0,5.0,6.0,5.0,17.0,10.0,7.0,0.0,0.0,13,38,7,,-,2018
schoonhorst,1863,1863,4369,210.0,527.0,372.0,335.0,900.0,1119.0,431.0,280.0,163.0,32.0,1109,2785,475,30100.0,6,2018
werkeren,1440,1463,4716,440.0,979.0,404.0,163.0,1221.0,1037.0,139.0,128.0,113.0,92.0,1823,2560,333,33300.0,4,2018
milligen,2811,2814,7111,342.0,895.0,746.0,444.0,1280.0,1900.0,618.0,592.0,235.0,59.0,1983,4242,886,31500.0,4,2018
de tippe,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-,2018
breecamp,491,491,1474,169.0,257.0,118.0,79.0,572.0,238.0,34.0,7.0,0.0,0.0,544,923,7,31100.0,7,2018
breezicht,4,4,9,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,1,7,1,,-,2018
stadsbroek,20,20,51,0.0,0.0,7.0,9.0,3.0,11.0,9.0,11.0,1.0,0.0,7,32,12,,-,2018
holtenbroek iv,1620,1620,3123,106.0,234.0,152.0,306.0,599.0,518.0,345.0,371.0,324.0,168.0,492,1768,863,21500.0,22,2018
holtenbroek i,890,891,1864,140.0,199.0,125.0,140.0,586.0,349.0,155.0,122.0,38.0,10.0,464,1230,170,28500.0,8,2018
holtenbroek ii,1333,1337,2671,138.0,298.0,188.0,308.0,835.0,506.0,183.0,136.0,69.0,10.0,624,1832,215,22600.0,19,2018
holtenbroek iii,1078,1083,2324,94.0,261.0,154.0,218.0,588.0,469.0,278.0,158.0,84.0,20.0,509,1553,262,22800.0,19,2018
aa-landen-zuid,1046,1046,2211,95.0,171.0,163.0,177.0,361.0,472.0,261.0,265.0,198.0,48.0,429,1271,511,24900.0,12,2018
aa-landen-midden,2042,2042,3779,122.0,286.0,195.0,210.0,720.0,637.0,461.0,443.0,440.0,265.0,603,2028,1148,25000.0,13,2018
aa-landen-noord,1593,1597,3849,154.0,401.0,286.0,261.0,529.0,706.0,532.0,622.0,304.0,54.0,841,2028,980,29400.0,5,2018
aa-landen-oost,1432,1437,3311,157.0,323.0,218.0,187.0,507.0,611.0,489.0,591.0,195.0,33.0,698,1794,819,29100.0,6,2018
brinkhoek,261,261,610,17.0,32.0,48.0,39.0,46.0,111.0,105.0,126.0,67.0,19.0,97,301,212,67000.0,2,2018
langenholte,43,43,111,4.0,6.0,12.0,13.0,8.0,24.0,27.0,10.0,6.0,1.0,22,72,17,,-,2018
haerst,108,109,280,8.0,15.0,28.0,22.0,42.0,54.0,56.0,39.0,10.0,6.0,51,174,55,36900.0,5,2018
berkum,1656,1672,3760,160.0,319.0,286.0,211.0,475.0,707.0,481.0,481.0,414.0,226.0,765,1874,1121,32800.0,5,2018
bedrijventerrein de vrolijkheid,9,12,7,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0,7,0,,-,2018
veldhoek,100,100,230,5.0,9.0,27.0,21.0,23.0,47.0,39.0,32.0,23.0,4.0,41,130,59,,-,2018
kantorenterrein oosterenk,5,5,14,0.0,0.0,5.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,5,3,6,,-,2018
bedrijventerrein hessenpoort,28,28,70,2.0,7.0,6.0,6.0,7.0,15.0,15.0,3.0,8.0,1.0,15,43,12,,-,2018
tolhuislanden,55,55,177,10.0,16.0,17.0,28.0,29.0,29.0,25.0,14.0,9.0,0.0,43,111,23,,-,2018
herfte,141,141,399,11.0,31.0,50.0,44.0,40.0,69.0,82.0,41.0,23.0,8.0,92,235,72,40600.0,4,2018
bedrijventerrein marslanden-zuid,9,9,166,0.0,7.0,6.0,13.0,59.0,66.0,12.0,1.0,2.0,0.0,13,150,3,,-,2018
wijthmen,246,247,629,28.0,59.0,47.0,54.0,86.0,120.0,108.0,64.0,50.0,13.0,134,368,127,31800.0,2,2018
oud-schelle,486,486,1365,59.0,181.0,141.0,107.0,195.0,324.0,167.0,121.0,50.0,20.0,381,793,191,38000.0,1,2018
schellerhoek,370,373,991,35.0,92.0,90.0,91.0,124.0,271.0,204.0,71.0,12.0,1.0,217,690,84,36800.0,0,2018
schellerbroek,694,694,1477,49.0,97.0,77.0,160.0,259.0,275.0,285.0,166.0,81.0,28.0,223,979,275,31200.0,8,2018
schellerlanden,1193,1201,2692,88.0,219.0,169.0,204.0,328.0,501.0,590.0,407.0,146.0,40.0,476,1623,593,31300.0,6,2018
oldenelerlanden-oost,1005,1005,2437,125.0,240.0,189.0,185.0,458.0,525.0,443.0,195.0,61.0,16.0,554,1611,272,29500.0,5,2018
oldenelerlanden-west,556,556,1453,53.0,148.0,113.0,126.0,206.0,336.0,324.0,116.0,28.0,3.0,314,992,147,35800.0,5,2018
oldenelerbroek,1455,1460,3357,103.0,306.0,295.0,275.0,501.0,856.0,546.0,311.0,134.0,30.0,704,2178,475,31200.0,6,2018
schelle-zuid en oldeneel,66,66,177,0.0,18.0,18.0,18.0,6.0,35.0,33.0,27.0,20.0,2.0,36,92,49,,-,2018
katerveer-engelse werk,199,204,632,16.0,70.0,68.0,37.0,53.0,151.0,79.0,63.0,39.0,56.0,154,320,158,55800.0,0,2018
oud-ittersum,520,520,1315,65.0,125.0,101.0,104.0,197.0,288.0,170.0,128.0,101.0,36.0,291,759,265,30300.0,4,2018
ittersumerlanden,1868,1868,3847,181.0,330.0,223.0,259.0,828.0,735.0,533.0,371.0,224.0,163.0,734,2355,758,25300.0,11,2018
ittersumerbroek,981,1005,2387,90.0,188.0,231.0,207.0,307.0,602.0,421.0,204.0,108.0,29.0,509,1537,341,30400.0,8,2018
geren,450,453,805,20.0,45.0,45.0,124.0,218.0,182.0,99.0,45.0,25.0,2.0,110,623,72,22900.0,17,2018
gerenlanden,1205,1205,3117,136.0,320.0,299.0,257.0,495.0,722.0,474.0,321.0,76.0,17.0,755,1948,414,30900.0,5,2018
gerenbroek,1192,1192,3157,146.0,372.0,300.0,199.0,530.0,711.0,580.0,265.0,49.0,5.0,818,2020,319,31300.0,3,2018
oude mars,22,22,101,0.0,20.0,13.0,2.0,5.0,37.0,22.0,2.0,0.0,0.0,33,66,2,,-,2018
windesheim,154,154,404,23.0,49.0,22.0,32.0,77.0,80.0,62.0,41.0,15.0,3.0,94,251,59,31300.0,3,2018
harculo en hoog-zuthem,139,139,511,11.0,38.0,44.0,28.0,32.0,98.0,100.0,76.0,44.0,40.0,93,258,160,40600.0,7,2018
binnenstad-zuid,1464,1465,2296,33.0,60.0,74.0,458.0,977.0,317.0,168.0,143.0,51.0,15.0,167,1920,209,36300.0,9,2019
binnenstad-noord,577,580,847,13.0,15.0,12.0,148.0,396.0,123.0,56.0,64.0,16.0,4.0,40,723,84,30000.0,9,2019
noordereiland,407,426,704,14.0,22.0,27.0,67.0,175.0,154.0,101.0,105.0,29.0,10.0,63,497,144,41500.0,8,2019
het noorden,1050,1054,1451,43.0,48.0,19.0,400.0,484.0,194.0,89.0,77.0,74.0,23.0,110,1167,174,23100.0,21,2019
schildersbuurt,174,174,357,12.0,24.0,19.0,48.0,75.0,75.0,43.0,35.0,25.0,1.0,55,241,61,27600.0,11,2019
bollebieste,976,976,1724,60.0,118.0,89.0,188.0,466.0,304.0,169.0,150.0,118.0,62.0,267,1127,330,22600.0,20,2019
dieze-centrum,577,579,958,24.0,45.0,37.0,169.0,334.0,151.0,97.0,61.0,32.0,8.0,106,751,101,26000.0,12,2019
bagijneweide,454,466,831,19.0,28.0,27.0,152.0,203.0,126.0,88.0,87.0,74.0,27.0,74,569,188,35500.0,5,2019
hogenkamp,1967,1975,3128,164.0,208.0,133.0,281.0,1161.0,514.0,227.0,163.0,152.0,125.0,505,2183,440,24400.0,15,2019
indischebuurt,581,581,1044,45.0,94.0,53.0,129.0,327.0,194.0,84.0,76.0,33.0,9.0,192,734,118,20900.0,24,2019
meppelerstraatweg-zuid,264,264,365,15.0,18.0,5.0,23.0,202.0,62.0,24.0,11.0,4.0,1.0,38,311,16,20800.0,20,2019
bedrijventerrein floresstraat,185,186,438,37.0,74.0,18.0,16.0,131.0,98.0,31.0,18.0,15.0,0.0,129,276,33,32400.0,3,2019
wipstrik-noord,1301,1304,3072,172.0,331.0,207.0,244.0,648.0,651.0,349.0,291.0,134.0,45.0,710,1892,470,40200.0,2,2019
wipstrik-zuid,1852,1856,3374,133.0,224.0,156.0,266.0,878.0,604.0,411.0,399.0,221.0,82.0,513,2159,702,28200.0,11,2019
stationsbuurt,572,578,1352,54.0,101.0,63.0,288.0,347.0,214.0,116.0,91.0,42.0,36.0,218,965,169,37900.0,7,2019
oud-assendorp,2117,2119,4103,172.0,262.0,144.0,888.0,1287.0,733.0,320.0,166.0,93.0,38.0,578,3228,297,29200.0,7,2019
nieuw-assendorp,1411,1411,3057,179.0,325.0,189.0,420.0,720.0,621.0,286.0,204.0,92.0,21.0,693,2047,317,28800.0,8,2019
wezenlanden,463,501,903,27.0,62.0,58.0,68.0,159.0,183.0,134.0,131.0,57.0,24.0,147,544,212,28600.0,14,2019
pierik,1135,1145,2110,101.0,161.0,121.0,147.0,583.0,466.0,234.0,211.0,76.0,10.0,383,1430,297,25400.0,14,2019
bedrijventerrein marslanden-noord,0,14,38,0.0,4.0,4.0,6.0,4.0,12.0,6.0,2.0,0.0,0.0,8,28,2,,-,2019
hanzeland,635,635,1142,24.0,47.0,42.0,184.0,304.0,213.0,125.0,119.0,70.0,14.0,113,826,203,33000.0,6,2019
kamperpoort,936,936,1668,38.0,72.0,66.0,289.0,509.0,184.0,158.0,132.0,104.0,116.0,176,1140,352,24100.0,18,2019
veerallee,662,662,1822,107.0,218.0,151.0,234.0,372.0,374.0,166.0,117.0,60.0,23.0,476,1146,200,40000.0,4,2019
bedrijventerrein voorst-a,42,42,51,0.0,0.0,0.0,6.0,30.0,10.0,5.0,0.0,0.0,0.0,0,51,0,,-,2019
bedrijventerrein voorst-b,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-,2019
spoolde,117,117,316,10.0,30.0,33.0,17.0,25.0,74.0,46.0,60.0,17.0,4.0,73,162,81,36400.0,4,2019
oud-westenholte,1011,1017,2506,127.0,295.0,198.0,198.0,433.0,496.0,311.0,225.0,169.0,54.0,620,1438,448,30400.0,7,2019
westenholte-stins,1101,1105,2678,105.0,277.0,231.0,204.0,427.0,561.0,432.0,334.0,98.0,9.0,613,1624,441,30000.0,6,2019
vreugderijk,63,63,184,1.0,14.0,21.0,23.0,11.0,38.0,41.0,24.0,11.0,0.0,36,113,35,,-,2019
bedrijventerrein voorst-c,1,2,4,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0,3,1,,-,2019
bedrijventerrein voorst-d,1,1,4,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0,3,1,,-,2019
