buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum,year
haerst,108,108,283,10.0,18.0,11.0,28.0,45.0,58.0,55.0,43.0,8.0,7.0,39,186,58,40100.0,4,2021
berkum,1656,1671,3802,159.0,341.0,259.0,267.0,505.0,686.0,480.0,472.0,396.0,237.0,759,1938,1105,36200.0,5,2021
bedrijventerrein de vrolijkheid,1,4,8,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1,7,0,,-,2021
veldhoek,105,105,267,8.0,20.0,20.0,27.0,30.0,61.0,37.0,34.0,22.0,8.0,48,155,64,61100.0,5,2021
kantorenterrein oosterenk,123,123,181,0.0,0.0,7.0,67.0,73.0,15.0,10.0,7.0,2.0,0.0,7,165,9,20200.0,25,2021
bedrijventerrein hessenpoort,32,32,77,1.0,6.0,5.0,10.0,9.0,18.0,15.0,6.0,6.0,1.0,12,52,13,,-,2021
tolhuislanden,55,55,173,10.0,19.0,15.0,23.0,23.0,34.0,24.0,13.0,12.0,0.0,44,104,25,,-,2021
herfte,141,141,386,9.0,26.0,39.0,43.0,37.0,67.0,80.0,58.0,17.0,10.0,74,227,85,43200.0,3,2021
bedrijventerrein marslanden-zuid,9,9,171,0.0,2.0,8.0,17.0,70.0,54.0,15.0,3.0,2.0,0.0,10,156,5,,-,2021
wijthmen,247,248,596,15.0,52.0,40.0,57.0,79.0,111.0,111.0,58.0,62.0,11.0,107,358,131,35100.0,2,2021
oud-schelle,486,486,1423,55.0,197.0,135.0,130.0,181.0,337.0,181.0,123.0,63.0,21.0,387,829,207,43900.0,1,2021
schellerhoek,370,373,976,43.0,86.0,85.0,76.0,144.0,223.0,223.0,83.0,11.0,2.0,214,666,96,41700.0,1,2021
schellerbroek,695,695,1453,50.0,99.0,81.0,140.0,267.0,250.0,258.0,192.0,88.0,28.0,230,915,308,35700.0,8,2021
schellerlanden,1194,1202,2616,74.0,220.0,145.0,171.0,310.0,420.0,598.0,450.0,178.0,50.0,439,1499,678,34700.0,5,2021
oldenelerlanden-oost,1005,1005,2386,111.0,236.0,188.0,157.0,469.0,439.0,429.0,270.0,72.0,15.0,535,1494,357,33200.0,6,2021
oldenelerlanden-west,568,568,1437,59.0,146.0,112.0,110.0,208.0,292.0,322.0,148.0,36.0,4.0,317,932,188,40200.0,5,2021
oldenelerbroek,1452,1457,3238,98.0,239.0,262.0,290.0,474.0,704.0,588.0,379.0,162.0,42.0,599,2056,583,35300.0,6,2021
schelle-zuid en oldeneel,68,68,173,0.0,8.0,21.0,18.0,6.0,30.0,37.0,27.0,23.0,3.0,29,91,53,,-,2021
katerveer-engelse werk,202,207,659,7.0,62.0,74.0,63.0,40.0,160.0,91.0,58.0,49.0,55.0,143,354,162,59200.0,2,2021
oud-ittersum,578,578,1466,78.0,162.0,96.0,109.0,256.0,301.0,183.0,150.0,93.0,38.0,336,849,281,34900.0,3,2021
ittersumerlanden,1874,1874,3794,190.0,298.0,224.0,230.0,843.0,645.0,533.0,405.0,267.0,159.0,712,2251,831,28500.0,11,2021
ittersumerbroek,981,1006,2311,77.0,172.0,171.0,219.0,313.0,504.0,465.0,256.0,109.0,25.0,420,1501,390,34600.0,7,2021
geren,450,453,797,27.0,31.0,46.0,122.0,222.0,170.0,96.0,51.0,27.0,5.0,104,610,83,26100.0,17,2021
gerenlanden,1222,1222,3067,126.0,319.0,249.0,269.0,536.0,617.0,478.0,354.0,100.0,19.0,694,1900,473,35300.0,3,2021
gerenbroek,1192,1192,3076,133.0,315.0,287.0,217.0,519.0,640.0,541.0,346.0,74.0,4.0,735,1917,424,34900.0,3,2021
oude mars,29,29,130,0.0,21.0,15.0,8.0,2.0,41.0,35.0,8.0,0.0,0.0,36,86,8,,-,2021
windesheim,155,155,397,21.0,50.0,18.0,33.0,70.0,83.0,57.0,39.0,26.0,0.0,89,243,65,34900.0,3,2021
harculo en hoog-zuthem,141,141,509,9.0,33.0,34.0,37.0,25.0,87.0,114.0,86.0,45.0,39.0,76,263,170,42200.0,0,2021
binnenstad-zuid,1565,1566,2367,34.0,49.0,58.0,477.0,987.0,350.0,183.0,131.0,80.0,18.0,141,1997,229,,,2023
binnenstad-noord,656,659,912,11.0,6.0,18.0,193.0,402.0,123.0,60.0,63.0,31.0,5.0,35,778,99,,,2023
noordereiland,540,558,864,17.0,16.0,22.0,70.0,227.0,157.0,136.0,141.0,69.0,9.0,55,590,219,,,2023
het noorden,1214,1220,1670,53.0,39.0,28.0,433.0,625.0,215.0,104.0,75.0,72.0,26.0,120,1377,173,,,2023
schildersbuurt,175,175,349,10.0,21.0,15.0,42.0,79.0,75.0,45.0,29.0,27.0,6.0,46,241,62,,,2023
bollebieste,990,990,1735,69.0,99.0,91.0,158.0,509.0,298.0,186.0,149.0,103.0,73.0,259,1151,325,,,2023
dieze-centrum,644,647,1038,28.0,29.0,30.0,192.0,430.0,131.0,89.0,67.0,36.0,6.0,87,842,109,,,2023
bagijneweide,490,502,864,17.0,25.0,28.0,168.0,224.0,118.0,91.0,82.0,80.0,31.0,70,601,193,,,2023
hogenkamp,2050,2059,3421,163.0,221.0,160.0,344.0,1206.0,596.0,268.0,189.0,173.0,101.0,544,2414,463,,,2023
indischebuurt,594,594,1010,41.0,76.0,51.0,129.0,320.0,191.0,101.0,59.0,34.0,8.0,168,741,101,,,2023
meppelerstraatweg-zuid,264,264,367,22.0,16.0,6.0,27.0,194.0,61.0,29.0,10.0,2.0,0.0,44,311,12,,,2023
bedrijventerrein floresstraat,185,186,427,25.0,71.0,34.0,13.0,78.0,124.0,40.0,20.0,16.0,6.0,130,255,42,,,2023
wipstrik-noord,1302,1305,3072,170.0,331.0,244.0,218.0,646.0,624.0,355.0,296.0,142.0,46.0,745,1843,484,,,2023
wipstrik-zuid,1857,1861,3358,152.0,220.0,136.0,236.0,896.0,604.0,388.0,371.0,266.0,89.0,508,2124,726,,,2023
stationsbuurt,584,590,1415,63.0,84.0,77.0,273.0,365.0,231.0,123.0,104.0,65.0,30.0,224,992,199,,,2023
oud-assendorp,2131,2133,4220,180.0,260.0,153.0,809.0,1343.0,743.0,395.0,206.0,98.0,33.0,593,3290,337,,,2023
nieuw-assendorp,1424,1424,3081,146.0,308.0,205.0,431.0,729.0,607.0,311.0,209.0,109.0,26.0,659,2078,344,,,2023
wezenlanden,599,638,1198,34.0,107.0,79.0,104.0,255.0,243.0,132.0,151.0,81.0,12.0,220,734,244,,,2023
pierik,1166,1176,2144,110.0,149.0,119.0,149.0,611.0,465.0,245.0,180.0,98.0,18.0,378,1470,296,,,2023
bedrijventerrein marslanden-noord,0,14,30,0.0,3.0,1.0,3.0,1.0,7.0,11.0,4.0,0.0,0.0,4,22,4,,,2023
hanzeland,636,636,1097,28.0,38.0,25.0,171.0,319.0,155.0,141.0,108.0,101.0,11.0,91,786,220,,,2023
kamperpoort,1377,1377,2273,73.0,70.0,48.0,322.0,857.0,265.0,212.0,198.0,142.0,86.0,191,1656,426,,,2023
veerallee,684,684,1900,110.0,231.0,158.0,245.0,336.0,414.0,188.0,119.0,67.0,32.0,499,1183,218,,,2023
bedrijventerrein voorst-a,42,43,54,0.0,0.0,0.0,3.0,34.0,10.0,5.0,2.0,0.0,0.0,0,52,2,,,2023
bedrijventerrein voorst-b,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,2023
spoolde,117,117,317,7.0,24.0,33.0,32.0,27.0,70.0,42.0,52.0,25.0,5.0,64,171,82,,,2023
oud-westenholte,1051,1057,2610,130.0,268.0,248.0,214.0,399.0,557.0,296.0,259.0,171.0,68.0,646,1466,498,,,2023
westenholte-stins,1103,1108,2575,85.0,215.0,217.0,192.0,435.0,507.0,374.0,387.0,147.0,16.0,517,1508,550,,,2023
vreugderijk,68,68,202,1.0,15.0,24.0,26.0,9.0,45.0,38.0,25.0,18.0,1.0,40,118,44,,,2023
bedrijventerrein voorst-c,1,1,8,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3,5,0,,,2023
bedrijventerrein voorst-d,1,1,5,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0,5,0,,,2023
frankhuis,2320,2366,6593,384.0,829.0,740.0,567.0,1288.0,1777.0,562.0,298.0,120.0,28.0,1953,4194,446,,,2023
mastenbroek,21,21,51,2.0,2.0,5.0,5.0,7.0,9.0,13.0,8.0,0.0,0.0,9,34,8,,,2023
schoonhorst,1870,1870,4200,191.0,333.0,350.0,373.0,860.0,998.0,530.0,294.0,207.0,64.0,874,2761,565,,,2023
werkeren,1659,1682,5279,337.0,933.0,650.0,311.0,1019.0,1377.0,284.0,179.0,122.0,67.0,1920,2991,368,,,2023
milligen,2871,2874,6995,274.0,680.0,672.0,593.0,1220.0,1671.0,761.0,610.0,424.0,90.0,1626,4245,1124,,,2023
de tippe,4,4,17,0.0,3.0,6.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,9,8,0,,,2023
breecamp,866,866,2787,237.0,522.0,331.0,153.0,757.0,641.0,114.0,29.0,2.0,1.0,1090,1665,32,,,2023
breezicht,545,545,1500,139.0,207.0,135.0,95.0,495.0,320.0,71.0,32.0,6.0,0.0,481,981,38,,,2023
stadsbroek,20,20,56,2.0,4.0,2.0,11.0,5.0,15.0,6.0,4.0,7.0,0.0,8,37,11,,,2023
holtenbroek iv,1695,1695,3225,96.0,220.0,218.0,329.0,641.0,497.0,367.0,360.0,324.0,173.0,534,1834,857,,,2023
holtenbroek i,892,893,1877,96.0,192.0,146.0,163.0,472.0,427.0,156.0,143.0,73.0,9.0,434,1218,225,,,2023
holtenbroek ii,1381,1384,2648,132.0,247.0,183.0,281.0,842.0,536.0,228.0,110.0,78.0,11.0,562,1887,199,,,2023
holtenbroek iii,1053,1058,2207,100.0,182.0,163.0,219.0,512.0,472.0,284.0,167.0,87.0,21.0,445,1487,275,,,2023
aa-landen-zuid,1072,1072,2220,95.0,171.0,149.0,165.0,444.0,395.0,294.0,234.0,208.0,65.0,415,1298,507,,,2023
aa-landen-midden,2066,2066,3856,118.0,340.0,250.0,204.0,685.0,685.0,413.0,415.0,483.0,263.0,708,1987,1161,,,2023
aa-landen-noord,1594,1598,3833,143.0,368.0,323.0,292.0,529.0,718.0,464.0,519.0,399.0,78.0,834,2003,996,,,2023
aa-landen-oost,1451,1456,3377,129.0,344.0,253.0,185.0,488.0,603.0,470.0,498.0,366.0,41.0,726,1746,905,,,2023
brinkhoek,265,265,623,17.0,43.0,46.0,48.0,44.0,109.0,116.0,88.0,83.0,29.0,106,317,200,,,2023
langenholte,46,46,124,4.0,14.0,6.0,14.0,10.0,24.0,26.0,18.0,7.0,1.0,24,74,26,,,2023
haerst,107,107,286,17.0,19.0,15.0,24.0,39.0,53.0,57.0,41.0,15.0,6.0,51,173,62,,,2023
berkum,1674,1689,3880,175.0,367.0,251.0,264.0,546.0,679.0,491.0,468.0,387.0,252.0,793,1980,1107,,,2023
bedrijventerrein de vrolijkheid,1,4,13,0.0,0.0,3.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,3,10,0,,,2023
veldhoek,106,106,269,2.0,23.0,15.0,36.0,24.0,62.0,42.0,34.0,23.0,8.0,40,164,65,,,2023
kantorenterrein oosterenk,193,193,780,19.0,64.0,63.0,177.0,253.0,132.0,40.0,26.0,4.0,2.0,146,602,32,,,2023
bedrijventerrein hessenpoort,32,32,77,3.0,4.0,7.0,10.0,7.0,19.0,14.0,6.0,5.0,2.0,14,50,13,,,2023
tolhuislanden,55,55,180,10.0,20.0,14.0,23.0,28.0,34.0,25.0,12.0,13.0,1.0,44,110,26,,,2023
herfte,145,145,403,12.0,30.0,47.0,44.0,39.0,77.0,70.0,58.0,19.0,7.0,89,230,84,,,2023
bedrijventerrein marslanden-zuid,10,10,175,0.0,0.0,7.0,24.0,85.0,43.0,13.0,0.0,3.0,0.0,7,165,3,,,2023
wijthmen,248,249,604,13.0,53.0,36.0,58.0,86.0,116.0,109.0,59.0,63.0,11.0,102,369,133,,,2023
oud-schelle,486,486,1428,57.0,184.0,152.0,130.0,151.0,341.0,202.0,125.0,66.0,20.0,393,824,211,,,2023
schellerhoek,371,374,982,40.0,82.0,81.0,83.0,144.0,202.0,210.0,115.0,23.0,2.0,203,639,140,,,2023
schellerbroek,699,699,1443,51.0,111.0,64.0,129.0,268.0,240.0,225.0,232.0,91.0,32.0,226,862,355,,,2023
schellerlanden,1194,1202,2570,72.0,200.0,153.0,159.0,307.0,398.0,546.0,473.0,206.0,56.0,425,1410,735,,,2023
oldenelerlanden-oost,1005,1005,2340,117.0,240.0,152.0,160.0,427.0,446.0,388.0,306.0,92.0,12.0,509,1421,410,,,2023
oldenelerlanden-west,568,568,1421,64.0,138.0,108.0,100.0,212.0,274.0,276.0,201.0,42.0,6.0,310,862,249,,,2023
oldenelerbroek,1454,1459,3154,85.0,218.0,246.0,259.0,497.0,632.0,610.0,377.0,177.0,53.0,549,1998,607,,,2023
schelle-zuid en oldeneel,67,67,170,1.0,8.0,14.0,22.0,7.0,27.0,37.0,27.0,24.0,3.0,23,93,54,,,2023
katerveer-engelse werk,202,207,648,7.0,46.0,76.0,65.0,40.0,139.0,109.0,53.0,59.0,54.0,129,353,166,,,2023
oud-ittersum,578,578,1482,79.0,174.0,103.0,107.0,266.0,280.0,177.0,157.0,98.0,41.0,356,830,296,,,2023
ittersumerlanden,1881,1881,3811,177.0,323.0,217.0,240.0,805.0,664.0,508.0,434.0,295.0,148.0,717,2217,877,,,2023
ittersumerbroek,983,1008,2264,68.0,169.0,148.0,212.0,309.0,438.0,467.0,284.0,141.0,28.0,385,1426,453,,,2023
geren,450,453,804,29.0,42.0,37.0,124.0,227.0,173.0,88.0,59.0,22.0,3.0,108,612,84,,,2023
gerenlanden,1222,1222,3025,140.0,268.0,243.0,269.0,536.0,589.0,459.0,363.0,137.0,21.0,651,1853,521,,,2023
gerenbroek,1192,1192,3037,146.0,285.0,269.0,229.0,512.0,593.0,493.0,397.0,109.0,4.0,700,1827,510,,,2023
oude mars,54,54,203,5.0,19.0,35.0,11.0,16.0,53.0,47.0,16.0,1.0,0.0,59,127,17,,,2023
windesheim,156,156,406,20.0,51.0,23.0,26.0,69.0,82.0,64.0,42.0,27.0,2.0,94,241,71,,,2023
harculo en hoog-zuthem,140,140,493,6.0,26.0,37.0,32.0,28.0,80.0,97.0,97.0,61.0,29.0,69,237,187,,,2023
binnenstad-zuid,1575,1576,2373,36.0,54.0,52.0,467.0,1012.0,335.0,172.0,133.0,87.0,25.0,142,1986,245,,,2024
binnenstad-noord,715,718,975,12.0,8.0,14.0,226.0,429.0,118.0,68.0,61.0,32.0,7.0,34,841,100,,,2024
noordereiland,543,562,877,13.0,22.0,18.0,75.0,237.0,150.0,136.0,141.0,76.0,9.0,53,598,226,,,2024
het noorden,1243,1249,1710,61.0,38.0,34.0,418.0,636.0,225.0,119.0,82.0,69.0,28.0,133,1398,179,,,2024
schildersbuurt,175,175,346,11.0,18.0,16.0,36.0,83.0,80.0,42.0,33.0,22.0,5.0,45,241,60,,,2024
bollebieste,990,990,1730,68.0,89.0,99.0,148.0,517.0,302.0,190.0,134.0,102.0,81.0,256,1157,317,,,2024
dieze-centrum,647,650,1064,30.0,28.0,22.0,231.0,420.0,123.0,96.0,69.0,37.0,8.0,80,870,114,,,2024
bagijneweide,490,502,860,15.0,33.0,21.0,155.0,234.0,115.0,89.0,82.0,80.0,36.0,69,593,198,,,2024
hogenkamp,2050,2059,3445,163.0,237.0,154.0,332.0,1202.0,601.0,281.0,196.0,179.0,100.0,554,2416,475,,,2024
indischebuurt,581,581,1014,33.0,70.0,58.0,126.0,340.0,185.0,102.0,57.0,38.0,5.0,161,753,100,,,2024
meppelerstraatweg-zuid,264,264,366,19.0,19.0,6.0,29.0,187.0,67.0,27.0,9.0,2.0,1.0,44,310,12,,,2024
bedrijventerrein floresstraat,185,186,426,22.0,68.0,40.0,12.0,71.0,122.0,46.0,23.0,17.0,5.0,130,251,45,,,2024
wipstrik-noord,1302,1305,3039,157.0,335.0,239.0,196.0,666.0,615.0,344.0,302.0,144.0,41.0,731,1821,487,,,2024
wipstrik-zuid,1860,1864,3340,133.0,236.0,144.0,245.0,854.0,618.0,393.0,369.0,262.0,86.0,513,2110,717,,,2024
stationsbuurt,587,593,1415,58.0,83.0,76.0,264.0,366.0,227.0,126.0,102.0,78.0,35.0,217,983,215,,,2024
oud-assendorp,2129,2130,4139,179.0,245.0,164.0,787.0,1295.0,733.0,396.0,207.0,101.0,32.0,588,3211,340,,,2024
nieuw-assendorp,1426,1426,3088,140.0,283.0,213.0,458.0,701.0,610.0,332.0,206.0,113.0,32.0,636,2101,351,,,2024
wezenlanden,639,678,1161,31.0,104.0,71.0,107.0,239.0,231.0,147.0,125.0,91.0,15.0,206,724,231,,,2024
pierik,1172,1182,2139,99.0,147.0,121.0,144.0,614.0,455.0,251.0,188.0,100.0,20.0,367,1464,308,,,2024
bedrijventerrein marslanden-noord,0,14,30,0.0,2.0,2.0,3.0,1.0,5.0,13.0,4.0,0.0,0.0,4,22,4,,,2024
hanzeland,636,636,1111,34.0,32.0,31.0,175.0,314.0,157.0,132.0,114.0,106.0,16.0,97,778,236,,,2024
kamperpoort,1381,1381,2439,80.0,108.0,72.0,331.0,915.0,283.0,213.0,201.0,144.0,92.0,260,1742,437,,,2024
veerallee,684,684,1879,111.0,231.0,162.0,231.0,331.0,402.0,187.0,121.0,72.0,31.0,504,1151,224,,,2024
bedrijventerrein voorst-a,42,42,54,0.0,0.0,0.0,4.0,32.0,8.0,8.0,2.0,0.0,0.0,0,52,2,,,2024
bedrijventerrein voorst-b,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,2024
spoolde,117,117,314,8.0,25.0,31.0,31.0,30.0,70.0,37.0,55.0,22.0,5.0,64,168,82,,,2024
oud-westenholte,1051,1057,2606,122.0,261.0,252.0,210.0,407.0,548.0,304.0,263.0,171.0,68.0,635,1469,502,,,2024
westenholte-stins,1103,1108,2553,93.0,205.0,207.0,177.0,445.0,489.0,373.0,391.0,157.0,16.0,505,1484,564,,,2024
vreugderijk,68,68,197,1.0,14.0,20.0,25.0,7.0,44.0,35.0,30.0,18.0,3.0,35,111,51,,,2024
bedrijventerrein voorst-c,1,1,8,1.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4,4,0,,,2024
bedrijventerrein voorst-d,1,1,4,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0,3,1,,,2024
frankhuis,2321,2368,6529,394.0,765.0,739.0,547.0,1252.0,1740.0,615.0,307.0,139.0,31.0,1898,4154,477,,,2024
mastenbroek,21,21,51,1.0,3.0,4.0,6.0,7.0,11.0,10.0,9.0,0.0,0.0,8,34,9,,,2024
schoonhorst,1870,1870,4160,193.0,320.0,333.0,379.0,857.0,929.0,576.0,302.0,208.0,63.0,846,2741,573,,,2024
werkeren,1662,1685,5341,298.0,890.0,694.0,350.0,970.0,1417.0,322.0,184.0,136.0,80.0,1882,3059,400,,,2024
milligen,2871,2874,6899,266.0,637.0,638.0,606.0,1172.0,1636.0,794.0,599.0,455.0,96.0,1541,4208,1150,,,2024
de tippe,135,135,299,18.0,28.0,32.0,30.0,113.0,56.0,13.0,8.0,1.0,0.0,78,212,9,,,2024
breecamp,868,868,2770,219.0,501.0,325.0,173.0,710.0,668.0,136.0,34.0,3.0,1.0,1045,1687,38,,,2024
breezicht,731,731,2027,189.0,287.0,182.0,109.0,693.0,414.0,107.0,39.0,7.0,0.0,658,1323,46,,,2024
stadsbroek,20,20,52,1.0,5.0,0.0,10.0,5.0,12.0,8.0,3.0,7.0,1.0,6,35,11,,,2024
holtenbroek iv,1694,1694,3182,109.0,200.0,221.0,335.0,626.0,508.0,346.0,351.0,328.0,158.0,530,1815,837,,,2024
holtenbroek i,892,893,1892,92.0,198.0,131.0,184.0,461.0,420.0,180.0,143.0,73.0,10.0,421,1245,226,,,2024
holtenbroek ii,1392,1397,2658,123.0,230.0,197.0,298.0,836.0,546.0,224.0,108.0,83.0,13.0,550,1904,204,,,2024
holtenbroek iii,1126,1131,2300,105.0,168.0,173.0,240.0,572.0,458.0,287.0,182.0,92.0,23.0,446,1557,297,,,2024
aa-landen-zuid,1072,1072,2215,95.0,160.0,133.0,173.0,482.0,369.0,305.0,229.0,200.0,69.0,388,1329,498,,,2024
aa-landen-midden,2171,2171,3953,110.0,320.0,264.0,233.0,656.0,734.0,460.0,412.0,496.0,268.0,694,2083,1176,,,2024
aa-landen-noord,1594,1598,3850,156.0,368.0,322.0,309.0,515.0,715.0,463.0,499.0,405.0,98.0,846,2002,1002,,,2024
aa-landen-oost,1451,1456,3335,117.0,329.0,257.0,191.0,458.0,605.0,464.0,474.0,398.0,42.0,703,1718,914,,,2024
brinkhoek,265,265,616,11.0,52.0,43.0,39.0,39.0,112.0,119.0,92.0,86.0,23.0,106,309,201,,,2024
langenholte,46,46,126,4.0,14.0,8.0,12.0,13.0,22.0,27.0,14.0,11.0,1.0,26,74,26,,,2024
haerst,108,108,291,14.0,23.0,16.0,24.0,37.0,52.0,60.0,42.0,18.0,5.0,53,173,65,,,2024
berkum,1700,1715,3936,171.0,388.0,264.0,249.0,562.0,697.0,501.0,455.0,394.0,255.0,823,2009,1104,,,2024
bedrijventerrein de vrolijkheid,1,4,14,0.0,0.0,2.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,2,12,0,,,2024
veldhoek,106,106,276,6.0,26.0,18.0,28.0,32.0,53.0,46.0,35.0,20.0,12.0,50,159,67,,,2024
kantorenterrein oosterenk,198,198,796,22.0,57.0,72.0,158.0,254.0,140.0,40.0,42.0,6.0,5.0,151,592,53,,,2024
bedrijventerrein hessenpoort,32,32,74,4.0,4.0,7.0,5.0,8.0,17.0,14.0,9.0,5.0,1.0,15,44,15,,,2024
tolhuislanden,55,55,163,8.0,17.0,10.0,19.0,29.0,31.0,21.0,13.0,14.0,1.0,35,100,28,,,2024
herfte,146,146,412,9.0,35.0,38.0,48.0,45.0,76.0,74.0,60.0,21.0,6.0,82,243,87,,,2024
bedrijventerrein marslanden-zuid,10,10,181,0.0,0.0,7.0,19.0,77.0,59.0,16.0,3.0,0.0,0.0,7,171,3,,,2024
wijthmen,248,248,601,16.0,42.0,41.0,56.0,85.0,118.0,111.0,57.0,61.0,14.0,99,370,132,,,2024
oud-schelle,486,486,1397,55.0,167.0,147.0,130.0,130.0,344.0,209.0,125.0,75.0,15.0,369,813,215,,,2024
schellerhoek,372,375,956,38.0,76.0,84.0,67.0,140.0,193.0,207.0,116.0,34.0,1.0,198,607,151,,,2024
schellerbroek,699,699,1424,41.0,107.0,76.0,107.0,265.0,230.0,230.0,240.0,96.0,32.0,224,832,368,,,2024
schellerlanden,1194,1202,2553,80.0,203.0,153.0,143.0,303.0,393.0,506.0,503.0,217.0,52.0,436,1345,772,,,2024
oldenelerlanden-oost,1005,1005,2310,106.0,220.0,157.0,160.0,419.0,431.0,390.0,320.0,92.0,15.0,483,1400,427,,,2024
oldenelerlanden-west,568,568,1403,61.0,132.0,117.0,83.0,200.0,269.0,271.0,224.0,37.0,9.0,310,823,270,,,2024
oldenelerbroek,1454,1459,3099,81.0,203.0,238.0,236.0,490.0,620.0,587.0,389.0,204.0,51.0,522,1933,644,,,2024
schelle-zuid en oldeneel,67,67,163,1.0,6.0,14.0,21.0,6.0,23.0,34.0,32.0,21.0,5.0,21,84,58,,,2024
katerveer-engelse werk,202,207,623,8.0,40.0,67.0,57.0,34.0,135.0,104.0,56.0,66.0,56.0,115,330,178,,,2024
oud-ittersum,578,578,1480,87.0,169.0,101.0,99.0,264.0,289.0,175.0,153.0,105.0,38.0,357,827,296,,,2024
ittersumerlanden,1881,1881,3822,176.0,328.0,215.0,235.0,822.0,653.0,481.0,454.0,310.0,148.0,719,2191,912,,,2024
ittersumerbroek,982,1007,2226,65.0,168.0,130.0,200.0,317.0,413.0,462.0,290.0,150.0,31.0,363,1392,471,,,2024
geren,450,453,796,31.0,43.0,32.0,118.0,226.0,172.0,85.0,60.0,23.0,6.0,106,601,89,,,2024
gerenlanden,1222,1222,3004,146.0,278.0,227.0,242.0,553.0,564.0,447.0,376.0,148.0,23.0,651,1806,547,,,2024
gerenbroek,1192,1192,3024,143.0,277.0,259.0,230.0,512.0,600.0,458.0,419.0,119.0,7.0,679,1800,545,,,2024
oude mars,76,76,267,13.0,24.0,38.0,20.0,27.0,67.0,57.0,19.0,2.0,0.0,75,171,21,,,2024
windesheim,156,156,389,18.0,48.0,24.0,19.0,68.0,74.0,58.0,48.0,30.0,2.0,90,219,80,,,2024
harculo en hoog-zuthem,139,139,491,9.0,26.0,30.0,36.0,27.0,77.0,102.0,99.0,58.0,27.0,65,242,184,,,2024
