Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],year
Gerenbroek,43,3.1,0.9,2.4,0.79,0.22,0,352,2020
Oude Mars,2,0.2,0.0,0.1,0.79,0.22,7,19,2020
Windesheim,7,0.5,0.1,0.4,0.79,0.22,5,45,2020
Harculo en Hoog-Zuthem,9,0.5,0.2,0.5,0.79,0.22,1,43,2020
Binnenstad-Zuid,54,3.5,1.0,3,0.83,0.23,61,?,2021
Binnenstad-Noord,17,1.2,0.4,1,0.83,0.23,18,?,2021
Noordereiland,16,1.2,0.4,0.9,0.83,0.23,42,123,2021
Het Noorden,27,1.8,0.6,1.5,0.83,0.23,12,17,2021
Schildersbuurt,5,0.4,0.1,0.3,0.83,0.23,0,11,2021
Bollebieste,29,2.0,0.6,1.7,0.83,0.23,117,260,2021
Dieze-Centrum,19,1.3,0.4,1.1,0.83,0.23,0,54,2021
Bagijneweide,17,1.1,0.3,0.9,0.83,0.23,14,28,2021
Hogenkamp,56,3.7,1.1,3.2,0.83,0.23,79,379,2021
Indischebuurt,17,1.1,0.3,1,0.83,0.23,0,86,2021
Meppelerstraatweg-Zuid,6,0.4,0.1,0.3,0.83,0.23,0,0,2021
Bedrijventerrein Floresstraat,5,0.4,0.1,0.3,0.83,0.23,0,43,2021
Wipstrik-Noord,62,3.6,1.1,3.5,0.83,0.23,0,222,2021
Wipstrik-Zuid,62,4.0,1.2,3.5,0.83,0.23,0,333,2021
Stationsbuurt,29,1.6,0.5,1.6,0.83,0.23,0,67,2021
Oud-Assendorp,80,4.6,1.4,4.5,0.83,0.23,0,250,2021
Nieuw-Assendorp,53,3.1,0.9,3,0.83,0.23,0,242,2021
Wezenlanden,20,1.4,0.4,1.1,0.83,0.23,31,248,2021
Pierik,37,2.1,0.6,2.1,0.83,0.23,35,429,2021
Bedrijventerrein Marslanden-Noord,?,0.0,0.0,?,0.83,0.23,?,8,2021
Hanzeland,16,1.3,0.4,0.9,0.83,0.23,0,67,2021
Kamperpoort,30,2.4,0.7,1.7,0.83,0.23,131,313,2021
Veerallee,35,2.1,0.6,2,0.83,0.23,20,240,2021
Bedrijventerrein Voorst-A,1,0.1,0.0,0.1,0.83,0.23,0,?,2021
Bedrijventerrein Voorst-B,?,0.0,0.0,?,0.83,0.23,?,0,2021
Spoolde,7,0.4,0.1,0.4,0.83,0.23,4,?,2021
Oud-Westenholte,40,2.8,0.8,2.3,0.83,0.23,41,265,2021
Westenholte-Stins,41,2.7,0.8,2.3,0.83,0.23,0,418,2021
Vreugderijk,4,0.3,0.1,0.2,0.83,0.23,5,25,2021
Bedrijventerrein Voorst-C,?,0.0,0.0,?,0.83,0.23,?,0,2021
Bedrijventerrein Voorst-D,?,0.0,0.0,?,0.83,0.23,?,0,2021
Frankhuis,72,6.6,2.0,4.1,0.83,0.23,232,998,2021
Mastenbroek,1,0.1,0.0,0.1,0.83,0.23,0,?,2021
Schoonhorst,56,4.6,1.4,3.1,0.83,0.23,0,406,2021
Werkeren,56,5.1,1.5,3.1,0.83,0.23,132,869,2021
Milligen,78,7.4,2.2,4.4,0.83,0.23,113,710,2021
Tippe bij de IJssel,?,0.0,0.0,?,0.83,0.23,?,0,2021
Breecamp,0,3.2,1.0,0,0.83,0.23,344,552,2021
Breezicht,?,0.6,0.2,?,0.83,0.23,?,347,2021
Stadsbroek,2,0.1,0.0,0.1,0.83,0.23,0,?,2021
Holtenbroek IV,54,3.5,1.1,3,0.83,0.23,249,257,2021
Holtenbroek I,15,2.1,0.6,0.8,0.83,0.23,0,285,2021
Holtenbroek II,46,2.6,0.8,2.6,0.83,0.23,0,226,2021
Holtenbroek III,38,2.4,0.7,2.2,0.83,0.23,0,189,2021
Aa-landen-Zuid,38,2.7,0.8,2.2,0.83,0.23,0,159,2021
Aa-landen-Midden,70,4.0,1.2,3.9,0.83,0.23,0,425,2021
Aa-landen-Noord,68,4.1,1.2,3.8,0.83,0.23,0,356,2021
Aa-landen-Oost,58,3.5,1.1,3.3,0.83,0.23,0,507,2021
Brinkhoek,22,1.2,0.4,1.2,0.83,0.23,11,92,2021
Langenholte,3,0.2,0.1,0.2,0.83,0.23,6,13,2021
Haerst,7,0.5,0.1,0.4,0.83,0.23,1,25,2021
Berkum,75,4.4,1.3,4.2,0.83,0.23,50,545,2021
Bedrijventerrein de Vrolijkheid,?,0.0,0.0,?,0.83,0.23,?,0,2021
Veldhoek,7,0.5,0.1,0.4,0.83,0.23,7,23,2021
Kantorenterrein Oosterenk,2,0.2,0.1,0.1,0.83,0.23,41,3,2021
Bedrijventerrein Hessenpoort,2,0.1,0.0,0.1,0.83,0.23,4,12,2021
Tolhuislanden,4,0.2,0.1,0.2,0.83,0.23,1,8,2021
Herfte,9,0.6,0.2,0.5,0.83,0.23,10,?,2021
Bedrijventerrein Marslanden-Zuid,1,0.0,0.0,0,0.83,0.23,0,?,2021
Wijthmen,14,0.9,0.3,0.8,0.83,0.23,5,50,2021
Oud-Schelle,24,1.6,0.5,1.3,0.83,0.23,5,174,2021
Schellerhoek,15,1.1,0.3,0.8,0.83,0.23,4,164,2021
Schellerbroek,27,1.7,0.5,1.5,0.83,0.23,7,221,2021
Schellerlanden,44,3.0,0.9,2.5,0.83,0.23,0,406,2021
Oldenelerlanden-Oost,34,2.5,0.8,1.9,0.83,0.23,0,279,2021
Oldenelerlanden-West,23,1.7,0.5,1.3,0.83,0.23,11,211,2021
Oldenelerbroek,49,3.6,1.1,2.7,0.83,0.23,0,413,2021
Schelle-Zuid en Oldeneel,5,0.3,0.1,0.3,0.83,0.23,5,25,2021
Katerveer-Engelse werk,13,0.9,0.3,0.8,0.83,0.23,4,80,2021
Oud-Ittersum,25,1.6,0.5,1.4,0.83,0.23,12,223,2021
Ittersumerlanden,52,4.1,1.2,2.9,0.83,0.23,0,353,2021
Ittersumerbroek,35,2.6,0.8,2,0.83,0.23,10,333,2021
Geren,10,0.9,0.3,0.6,0.83,0.23,0,58,2021
Gerenlanden,52,3.5,1.0,2.9,0.83,0.23,0,492,2021
Gerenbroek,43,3.2,1.0,2.4,0.83,0.23,0,440,2021
Oude Mars,1,0.2,0.1,0.1,0.83,0.23,7,22,2021
Windesheim,7,0.5,0.1,0.4,0.83,0.23,5,55,2021
Harculo en Hoog-Zuthem,9,0.6,0.2,0.5,0.83,0.23,1,49,2021
Binnenstad-Zuid,49,3.3,0.9,2.8,2.26,0.5,62,78,2022
Binnenstad-Noord,15,1.1,0.3,0.9,2.26,0.5,18,4,2022
Noordereiland,14,1.1,0.3,0.8,2.26,0.5,37,129,2022
Het Noorden,24,1.8,0.5,1.4,2.26,0.5,0,27,2022
Schildersbuurt,5,0.4,0.1,0.3,2.26,0.5,0,15,2022
Bollebieste,26,1.8,0.5,1.5,2.26,0.5,59,292,2022
Dieze-Centrum,18,1.2,0.3,1,2.26,0.5,38,69,2022
Bagijneweide,15,1.0,0.3,0.8,2.26,0.5,19,34,2022
Hogenkamp,51,3.5,1.0,2.9,2.26,0.5,103,390,2022
Indischebuurt,16,1.1,0.3,0.9,2.26,0.5,42,97,2022
Meppelerstraatweg-Zuid,6,0.4,0.1,0.3,2.26,0.5,0,0,2022
Bedrijventerrein Floresstraat,5,0.4,0.1,0.3,2.26,0.5,2,52,2022
Wipstrik-Noord,54,3.3,0.9,3.1,2.26,0.5,26,303,2022
Wipstrik-Zuid,54,3.8,1.0,3.1,2.26,0.5,0,403,2022
Stationsbuurt,27,1.5,0.4,1.5,2.26,0.5,6,97,2022
Oud-Assendorp,71,4.3,1.2,4,2.26,0.5,0,311,2022
Nieuw-Assendorp,46,2.8,0.8,2.6,2.26,0.5,0,327,2022
Wezenlanden,17,1.3,0.4,1,2.26,0.5,31,253,2022
Pierik,33,1.9,0.5,1.9,2.26,0.5,23,504,2022
Bedrijventerrein Marslanden-Noord,?,0.0,0.0,?,2.26,0.5,?,9,2022
Hanzeland,14,1.2,0.3,0.8,2.26,0.5,0,78,2022
Kamperpoort,28,2.4,0.7,1.6,2.26,0.5,110,340,2022
Veerallee,31,2.0,0.5,1.8,2.26,0.5,21,258,2022
Bedrijventerrein Voorst-A,1,0.1,0.0,0.1,2.26,0.5,?,?,2022
Bedrijventerrein Voorst-B,?,0.0,0.0,?,2.26,0.5,?,0,2022
Spoolde,6,0.4,0.1,0.3,2.26,0.5,6,?,2022
Oud-Westenholte,35,2.7,0.7,2,2.26,0.5,72,361,2022
Westenholte-Stins,36,2.5,0.7,2,2.26,0.5,11,490,2022
Vreugderijk,4,0.3,0.1,0.2,2.26,0.5,?,33,2022
Bedrijventerrein Voorst-C,?,0.0,0.0,?,2.26,0.5,?,0,2022
Bedrijventerrein Voorst-D,?,0.0,0.0,?,2.26,0.5,?,0,2022
Frankhuis,64,6.2,1.7,3.6,2.26,0.5,302,1154,2022
Mastenbroek,1,0.1,0.0,0.1,2.26,0.5,?,?,2022
Schoonhorst,50,4.3,1.2,2.8,2.26,0.5,19,511,2022
Werkeren,50,4.8,1.3,2.8,2.26,0.5,182,983,2022
Milligen,69,7.1,1.9,3.9,2.26,0.5,201,841,2022
Tippe bij de IJssel,?,0.0,0.0,?,2.26,0.5,?,?,2022
Breecamp,1,3.2,0.9,0,2.26,0.5,464,604,2022
Breezicht,0,1.3,0.4,0,2.26,0.5,431,429,2022
Stadsbroek,1,0.1,0.0,0.1,2.26,0.5,?,6,2022
Holtenbroek IV,49,3.5,0.9,2.8,2.26,0.5,271,291,2022
Holtenbroek I,14,2.0,0.5,0.8,2.26,0.5,36,324,2022
Holtenbroek II,42,2.5,0.7,2.4,2.26,0.5,0,401,2022
Holtenbroek III,34,2.2,0.6,1.9,2.26,0.5,0,440,2022
Aa-landen-Zuid,33,2.6,0.7,1.9,2.26,0.5,32,191,2022
Aa-landen-Midden,63,3.9,1.0,3.6,2.26,0.5,0,464,2022
Aa-landen-Noord,60,3.8,1.0,3.4,2.26,0.5,16,502,2022
Aa-landen-Oost,51,3.3,0.9,2.9,2.26,0.5,0,599,2022
Brinkhoek,19,1.1,0.3,1.1,2.26,0.5,29,106,2022
Langenholte,2,0.2,0.1,0.1,2.26,0.5,?,18,2022
Haerst,6,0.4,0.1,0.4,2.26,0.5,9,27,2022
Berkum,65,4.1,1.1,3.7,2.26,0.5,99,689,2022
Bedrijventerrein de Vrolijkheid,?,0.0,0.0,?,2.26,0.5,?,?,2022
Veldhoek,6,0.4,0.1,0.3,2.26,0.5,20,27,2022
Kantorenterrein Oosterenk,4,0.3,0.1,0.2,2.26,0.5,0,?,2022
Bedrijventerrein Hessenpoort,2,0.1,0.0,0.1,2.26,0.5,?,13,2022
Tolhuislanden,3,0.2,0.1,0.2,2.26,0.5,?,10,2022
Herfte,8,0.6,0.2,0.4,2.26,0.5,15,47,2022
Bedrijventerrein Marslanden-Zuid,1,0.0,0.0,0,2.26,0.5,?,4,2022
Wijthmen,12,0.8,0.2,0.7,2.26,0.5,10,70,2022
Oud-Schelle,21,1.5,0.4,1.2,2.26,0.5,19,205,2022
Schellerhoek,13,1.0,0.3,0.7,2.26,0.5,11,207,2022
Schellerbroek,23,1.6,0.4,1.3,2.26,0.5,14,253,2022
Schellerlanden,39,2.8,0.7,2.2,2.26,0.5,36,531,2022
Oldenelerlanden-Oost,30,2.3,0.6,1.7,2.26,0.5,10,337,2022
Oldenelerlanden-West,20,1.5,0.4,1.1,2.26,0.5,23,237,2022
Oldenelerbroek,43,3.3,0.9,2.4,2.26,0.5,29,490,2022
Schelle-Zuid en Oldeneel,4,0.3,0.1,0.2,2.26,0.5,?,33,2022
Katerveer-Engelse werk,12,0.8,0.2,0.7,2.26,0.5,10,83,2022
Oud-Ittersum,22,1.5,0.4,1.2,2.26,0.5,23,251,2022
Ittersumerlanden,48,3.8,1.0,2.7,2.26,0.5,0,455,2022
Ittersumerbroek,30,2.3,0.6,1.7,2.26,0.5,29,401,2022
Geren,10,0.9,0.2,0.6,2.26,0.5,0,78,2022
Gerenlanden,44,3.1,0.8,2.5,2.26,0.5,12,571,2022
Gerenbroek,38,2.9,0.8,2.2,2.26,0.5,12,539,2022
Oude Mars,1,0.2,0.1,0.1,2.26,0.5,?,34,2022
Windesheim,6,0.5,0.1,0.4,2.26,0.5,8,64,2022
Harculo en Hoog-Zuthem,8,0.5,0.1,0.4,2.26,0.5,8,51,2022
Binnenstad-Zuid,42,3.2,0.7,2.4,1.35,0.37,94,0.0,2023
Binnenstad-Noord,14,1.1,0.2,0.8,1.35,0.37,20,0.0,2023
Noordereiland,12,1.1,0.2,0.7,1.35,0.37,38,0.0,2023
Het Noorden,21,1.6,0.4,1.2,1.35,0.37,0,0.0,2023
Schildersbuurt,4,0.3,0.1,0.2,1.35,0.37,2,0.0,2023
Bollebieste,23,1.8,0.4,1.3,1.35,0.37,69,0.0,2023
Dieze-Centrum,15,1.2,0.3,0.8,1.35,0.37,39,0.0,2023
Bagijneweide,12,1.0,0.2,0.7,1.35,0.37,25,0.0,2023
Hogenkamp,42,3.3,0.7,2.4,1.35,0.37,123,0.0,2023
Indischebuurt,13,1.0,0.2,0.7,1.35,0.37,48,0.0,2023
Meppelerstraatweg-Zuid,5,0.4,0.1,0.3,1.35,0.37,0,0.0,2023
Bedrijventerrein Floresstraat,4,0.4,0.1,0.2,1.35,0.37,2,0.0,2023
Wipstrik-Noord,44,3.1,0.7,2.5,1.35,0.37,39,0.0,2023
Wipstrik-Zuid,45,3.6,0.8,2.5,1.35,0.37,19,0.0,2023
Stationsbuurt,22,1.5,0.3,1.2,1.35,0.37,18,0.0,2023
Oud-Assendorp,58,4.1,0.9,3.3,1.35,0.37,64,0.0,2023
Nieuw-Assendorp,39,2.7,0.6,2.2,1.35,0.37,14,0.0,2023
Wezenlanden,14,1.2,0.3,0.8,1.35,0.37,30,0.0,2023
Pierik,27,1.9,0.4,1.5,1.35,0.37,70,0.0,2023
Bedrijventerrein Marslanden-Noord,?,0.0,0.0,?,1.35,0.37,?,0.0,2023
Hanzeland,12,1.2,0.3,0.7,1.35,0.37,6,0.0,2023
Kamperpoort,24,2.4,0.5,1.3,1.35,0.37,96,0.0,2023
Veerallee,25,1.9,0.4,1.4,1.35,0.37,34,0.0,2023
Bedrijventerrein Voorst-A,1,0.1,0.0,0,1.35,0.37,?,0.0,2023
Bedrijventerrein Voorst-B,?,0.0,0.0,?,1.35,0.37,?,0.0,2023
Spoolde,4,0.4,0.1,0.3,1.35,0.37,12,0.0,2023
Oud-Westenholte,29,2.6,0.6,1.7,1.35,0.37,105,0.0,2023
Westenholte-Stins,30,2.4,0.5,1.7,1.35,0.37,33,0.0,2023
Vreugderijk,3,0.3,0.1,0.1,1.35,0.37,?,0.0,2023
Bedrijventerrein Voorst-C,?,0.0,0.0,?,1.35,0.37,?,0.0,2023
Bedrijventerrein Voorst-D,?,0.0,0.0,?,1.35,0.37,?,0.0,2023
Frankhuis,53,5.9,1.3,3,1.35,0.37,348,0.0,2023
Mastenbroek,1,0.1,0.0,0.1,1.35,0.37,?,0.0,2023
Schoonhorst,42,4.0,0.9,2.4,1.35,0.37,75,0.0,2023
Werkeren,41,4.7,1.0,2.3,1.35,0.37,199,0.0,2023
Milligen,59,6.7,1.5,3.3,1.35,0.37,258,0.0,2023
Tippe bij de IJssel,?,0.0,0.0,?,1.35,0.37,?,0.0,2023
Breecamp,1,3.1,0.7,0,1.35,0.37,424,0.0,2023
Breezicht,0,1.7,0.4,0,1.35,0.37,540,0.0,2023
Stadsbroek,1,0.1,0.0,0.1,1.35,0.37,?,0.0,2023
Holtenbroek IV,40,3.3,0.7,2.2,1.35,0.37,288,0.0,2023
Holtenbroek I,11,1.9,0.4,0.6,1.35,0.37,36,0.0,2023
Holtenbroek II,33,2.3,0.5,1.9,1.35,0.37,14,0.0,2023
Holtenbroek III,27,2.0,0.5,1.5,1.35,0.37,32,0.0,2023
Aa-landen-Zuid,28,2.6,0.6,1.6,1.35,0.37,43,0.0,2023
Aa-landen-Midden,52,3.7,0.8,2.9,1.35,0.37,21,0.0,2023
Aa-landen-Noord,49,3.6,0.8,2.8,1.35,0.37,64,0.0,2023
Aa-landen-Oost,42,3.1,0.7,2.4,1.35,0.37,15,0.0,2023
Brinkhoek,15,1.1,0.2,0.9,1.35,0.37,40,0.0,2023
Langenholte,2,0.2,0.0,0.1,1.35,0.37,?,0.0,2023
Haerst,5,0.4,0.1,0.3,1.35,0.37,15,0.0,2023
Berkum,53,4.0,0.9,3,1.35,0.37,167,0.0,2023
Bedrijventerrein de Vrolijkheid,?,0.0,0.0,?,1.35,0.37,?,0.0,2023
Veldhoek,5,0.4,0.1,0.3,1.35,0.37,23,0.0,2023
Kantorenterrein Oosterenk,4,0.3,0.1,0.2,1.35,0.37,0,0.0,2023
Bedrijventerrein Hessenpoort,1,0.1,0.0,0.1,1.35,0.37,?,0.0,2023
Tolhuislanden,2,0.2,0.0,0.1,1.35,0.37,?,0.0,2023
Herfte,6,0.6,0.1,0.3,1.35,0.37,22,0.0,2023
Bedrijventerrein Marslanden-Zuid,0,0.0,0.0,0,1.35,0.37,?,0.0,2023
Wijthmen,10,0.8,0.2,0.5,1.35,0.37,20,0.0,2023
Oud-Schelle,17,1.4,0.3,0.9,1.35,0.37,44,0.0,2023
Schellerhoek,11,0.9,0.2,0.6,1.35,0.37,26,0.0,2023
Schellerbroek,20,1.5,0.3,1.1,1.35,0.37,42,0.0,2023
Schellerlanden,32,2.6,0.6,1.8,1.35,0.37,72,0.0,2023
Oldenelerlanden-Oost,25,2.2,0.5,1.4,1.35,0.37,40,0.0,2023
Oldenelerlanden-West,16,1.4,0.3,0.9,1.35,0.37,45,0.0,2023
Oldenelerbroek,36,3.2,0.7,2,1.35,0.37,73,0.0,2023
Schelle-Zuid en Oldeneel,3,0.3,0.1,0.2,1.35,0.37,?,0.0,2023
Katerveer-Engelse werk,10,0.8,0.2,0.5,1.35,0.37,22,0.0,2023
Oud-Ittersum,17,1.4,0.3,1,1.35,0.37,46,0.0,2023
Ittersumerlanden,39,3.6,0.8,2.2,1.35,0.37,38,0.0,2023
Ittersumerbroek,25,2.2,0.5,1.4,1.35,0.37,49,0.0,2023
Geren,8,0.8,0.2,0.5,1.35,0.37,5,0.0,2023
Gerenlanden,36,2.9,0.6,2,1.35,0.37,49,0.0,2023
Gerenbroek,31,2.8,0.6,1.8,1.35,0.37,48,0.0,2023
Oude Mars,2,0.3,0.1,0.1,1.35,0.37,?,0.0,2023
Windesheim,5,0.4,0.1,0.3,1.35,0.37,12,0.0,2023
Harculo en Hoog-Zuthem,6,0.5,0.1,0.3,1.35,0.37,10,0.0,2023
