OBJECTID,Programma,Projectnummer,Adress,Postal Code,Maximale_subsidie,Indienronde,Realisatiejaar,Kwartaal,Aanvrager,Status,Vermogen,Looptijd,Rechtsvorm,Provincie,Latitude,Longitude,Categorie,Thema,label,RES_regio,Gemeente,Plaats,x,y
10730,SDE,SDE1308118,IJsselcentraleweg 6,8015 PA,"1,408,950",2013,2015,Q4,ENGIE Energie Zonnepark Harculo B.V.,Gerealiseerd,1.01,15,BV,Overijssel,52.468987,6.1067627,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.106761873,52.46898656
10744,SDE,SDE1312395,Nipkowstraat 1,8013 RJ,"421,290",2013,2016,Q4,PostNL Real Estate B.V.,Gerealiseerd,0.302,15,BV,Overijssel,52.494547,6.1390944,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.139093795,52.49454663
10949,SDE,SDE1355367,Pommerenstraat 4,8028 NA,"3,496,066",2013,2015,Q3,Warehouses De Pauw Nederland N.V.,Gerealiseerd,2.50614,15,NV,Overijssel,52.546132,6.1753688,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.175368543,52.54613179
11304,SDE,SDE1406477,Blaloweg 1,8041 AH,"599,460",2014,2017,Q2,Pvefh SPV 3 B.V.,Gerealiseerd,0.388,15,BV,Overijssel,52.517043,6.0780913,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.078090466,52.51704258
11472,SDE,SDE1413144,Schuurmanstraat 1,8011 KC,"202,395",2014,2017,Q4,Pvefh SPV 2 B.V.,Gerealiseerd,0.131,15,BV,Overijssel,52.512395,6.1017768,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.101776075,52.51239459
11495,SDE,SDE1413974,Dokter van Deenweg 140,8025 BM,"54,075",2014,2018,Q2,International Solar Projects III B.V.,Gerealiseerd,0.035,15,BV,Overijssel,52.508059,6.1258622,Zonne-energie,Zon-PV,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.125861583,52.50805862
11577,SDE,SDE1416923,Marsweg 5,8013 PD,"233,295",2014,2016,Q3,Enexis B.V.,Gerealiseerd,0.151,15,BV,Overijssel,52.499075,6.1239317,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.123931044,52.4990746
11664,SDE,SDE1420318,Boerendanserdijk 43,8024 AE,"389,340",2014,2018,Q4,Businesspark Zwolle B.V.,Gerealiseerd,0.252,15,BV,Overijssel,52.520953,6.1209318,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.120931198,52.52095265
11779,SDE,SDE1424058,Mindenstraat 7,8028 PK,"927,000",2014,2017,Q2,Warehouses De Pauw Nederland N.V.,Gerealiseerd,0.6,15,NV,Overijssel,52.534526,6.1729359,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.172935597,52.53452577
12069,SDE,SDE1435533,Oude Veerweg 1,8019 BE,"54,229",2014,2017,Q3,Eneco Solar B.V.,Gerealiseerd,0.0351,15,BV,Overijssel,52.504583,6.0714896,Zonne-energie,Zon-PV,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.07148872,52.50458253
12070,SDE,SDE1435749,Hogeland 10,8024 AZ,"556,200",2014,2018,Q1,Pvefh SPV 3 B.V.,Gerealiseerd,0.36,15,BV,Overijssel,52.522145,6.1240136,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.124013018,52.52214466
12316,SDE,SDE1446485,Russenweg 5,8041 AL,"8,292,015",2014,2017,Q4,EPS Zwolle B.V.,Gerealiseerd,5.367,15,BV,Overijssel,52.514537,6.0658382,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.065837306,52.51453657
12443,SDE,SDE1452225,Hoekerweg 9,8042 PH,"653,535",2014,2018,Q2,Stamco B.V.,Gerealiseerd,0.423,15,BV,Overijssel,52.513713,6.0535751,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.053574154,52.51371258
12474,SDE,SDE1453641,Ruiterlaan 45,8019 BP,"637,158",2014,2017,Q4,Eneco Solar B.V.,Gerealiseerd,0.4124,15,BV,Overijssel,52.498722,6.0724315,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.072430616,52.49872152
12481,SDE,SDE1453942,Steinfurtstraat 2,8028 PP,"369,255",2014,2016,Q3,Rova Activa Beheer B.V.,Gerealiseerd,0.239,15,BV,Overijssel,52.533595,6.1769997,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.176999413,52.53359477
12529,SDE,SDE1455867,Prinses Julianastraat 66,8019 AX,"258,015",2014,2018,Q2,Pvefh SPV 2 B.V.,Gerealiseerd,0.167,15,BV,Overijssel,52.509803,6.0797528,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.079751961,52.50980255
12561,SDE,SDE1457080,Fuchsiastraat 1,8013 ZC,"256,470",2014,2017,Q4,Pvefh SPV 2 B.V.,Gerealiseerd,0.166,15,BV,Overijssel,52.50489,6.1145449,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.114544218,52.50488959
12656,SDE,SDE1460167,Rieteweg 12,8041 AK,"131,580",2014,2015,Q2,Stichting Vrije Evangelisatie Zwolle,Gerealiseerd,0.102,15,STICH,Overijssel,52.515414,6.0758396,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.075838753,52.51541357
12657,SDE,SDE1460201,***,8013**,"305,910",2014,2018,Q3,Geanonimiseerd,Gerealiseerd,0.198,15,,Overijssel,52.504722,6.1225094,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.122508756,52.50472161
12660,SDE,SDE1460371,Marsweg 55,8013 PE,"309,000",2014,2018,Q2,Esco Molenhoek B.V.,Gerealiseerd,0.2,15,BV,Overijssel,52.481464,6.1364218,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.136421127,52.48146361
13253,SDE,SDE1483593,Lippestraat 15,8028 PS,"1,545,000",2014,2017,Q1,Warehouses De Pauw Nederland N.V.,Gerealiseerd,1,15,NV,Overijssel,52.540578,6.1715785,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.171578209,52.54057778
13285,SDE,SDE1485177,Wilhelm Rontgenstraat 13,8013 NE,"261,909",2014,2017,Q2,Pvefh SPV 3 B.V.,Gerealiseerd,0.16952,15,BV,Overijssel,52.491784,6.1244631,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.12446242,52.49178359
13301,SDE,SDE1485893,Assendorperdijk 132,8012 EJ,"111,240",2014,2018,Q1,Zon op Zorg B.V.,Gerealiseerd,0.072,15,BV,Overijssel,52.505857,6.1073148,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.107314085,52.50585658
13371,SDE,SDE1488193,Diepholtstraat 3,8028 PN,"1,102,125",2014,2015,Q1,IKEA B.V.,Gerealiseerd,0.85436,15,BV,Overijssel,52.532596,6.1624347,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.162434343,52.53259575
13410,SDE,SDE1500029,Molenland 5,8024 AL,"1,036,800",2015,2016,Q4,BeGreen Overijssel B.V.,Gerealiseerd,0.9,12,BV,Overijssel,52.525852,6.1232457,Biomassa,Ketel vaste biomassa < 5 MW (HW),"Biomassa 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.123245125,52.52585167
13789,SDE,SDE1609205,Oude Wetering 82a,8044 PA,"17,685",2016,2018,Q1,Stichting Catent,Gerealiseerd,0.017,15,STICH,Overijssel,52.555559,6.0399575,Zonne-energie,Zon-PV,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.039956491,52.55555882
13890,SDE,SDE1613909,Stationsplein 16,8011 CW,"225,720",2016,2019,Q2,ProRail B.V.,Gerealiseerd,0.288,15,BV,Overijssel,52.506791,6.0912692,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.091268411,52.50679055
13966,SDE,SDE1617655,IJsselcentraleweg 9,8014 BK,"56,169",2016,2017,Q1,Stichting Clubhuis S.V.I.,Gerealiseerd,0.05327,15,STICH,Overijssel,52.473662,6.1135382,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.11353741,52.47366157
14105,SDE,SDE1624039,Campus 2-6,8017 CA,"416,100",2016,2018,Q3,Christelijke Hogeschool Windesheim,Gerealiseerd,0.4,15,STICH,Overijssel,52.501026,6.0803517,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.08035085,52.50102552
14165,SDE,SDE1627202,Dokter Denekampweg 20,8025 BV,"186,846",2016,2019,Q1,Stichting Epilepsie Instellingen Nederland,Gerealiseerd,0.2384,15,STICH,Overijssel,52.517973,6.1265787,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.126578118,52.51797265
14234,SDE,SDE1630599,Zeven Alleetjes 1a,8011 CV,"22,943",2016,2019,Q2,Gemeente Zwolle,Gerealiseerd,0.023,15,GEM,Overijssel,52.508943,6.0938137,Zonne-energie,Zon-PV,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.093812927,52.50894256
14319,SDE,SDE1634793,Bohemenstraat 17,8028 SB,"27,432",2016,2017,Q4,Bus Vastgoed B.V.,Gerealiseerd,0.035,15,BV,Overijssel,52.530155,6.1725409,Zonne-energie,Zon-PV,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.172540582,52.53015476
14903,SDE,SDE1663545,Katerdijk 2-b,8011 BK,"124,659",2016,2019,Q3,Gemeente Zwolle,Gerealiseerd,0.162,15,GEM,Overijssel,52.516907,6.0842113,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.084210496,52.51690658
14984,SDE,SDE1667088,Zalneweg 75,8026 PZ,"12,697",2016,2021,Q3,Golfclub Zwolle,Gerealiseerd,0.0165,15,VER,Overijssel,52.498614,6.1484783,Zonne-energie,Zon-PV,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.148477755,52.49861365
15240,SDE,SDE1679947,Oude Wetering 82,8044 PA,"29,127",2016,2018,Q2,"Vivente, Stichting voor Christelijk Primair Onderwijs",Gerealiseerd,0.028,15,STICH,Overijssel,52.555559,6.0399575,Zonne-energie,Zon-PV,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.039956491,52.55555882
15317,SDE,SDE1683433,Paxtonstraat 4,8013 RP,"142,358",2016,2019,Q1,Space-Winner Zwolle B.V.,Gerealiseerd,0.135,15,BV,Overijssel,52.489252,6.1395124,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.139511774,52.48925162
15433,SDE,SDE1689450,Fonteinkruid 115,8043 NH,"45,871",2016,2019,Q1,Stichting Epilepsie Instellingen Nederland,Gerealiseerd,0.04292,15,STICH,Overijssel,52.541343,6.0560669,Zonne-energie,Zon-PV,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.056065982,52.54134272
15608,SDE,SDE1698513,Burgemeester Drijbersingel 19,8021 DA,"18,810",2016,2017,Q1,Fiori Vastgoed B.V.,Gerealiseerd,0.024,15,BV,Overijssel,52.518058,6.0967737,Zonne-energie,Zon-PV,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.096772963,52.5180576
16160,SDE,SDE1707177,Rieteweg 28,8041 AK,"108,927",2017,2019,Q3,O. de Leeuw B.V.,Gerealiseerd,0.091,15,BV,Overijssel,52.515414,6.0758396,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.075838753,52.51541357
16420,SDE,SDE1712017,Spoolderenkweg 1,8042 PK,"1,192,725",2017,2019,Q2,Waterschap Drents Overijsselse Delta,Gerealiseerd,0.722,12,WAT,Overijssel,52.510421,6.0426833,Biomassa,RWZI thermofiele gisting slib (HEW),"Biomassa 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.042682315,52.51042058
16689,SDE,SDE1717669,Assendorperstraat 71,8012 DG,"174,135",2017,2020,Q2,Stichting Marktstede Vastgoedfonds III,Gerealiseerd,0.13,15,STICH,Overijssel,52.507456,6.1026053,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.102604567,52.50745557
16783,SDE,SDE1719471,Rudolf Dieselstraat 14,8013 NJ,"348,769",2017,2019,Q4,Wecovi Vastgoed B.V.,Gerealiseerd,0.275,15,BV,Overijssel,52.494627,6.1251695,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.125168833,52.4946266
16798,SDE,SDE1719737,Punterweg 4,8042 PB,"130,972",2017,2020,Q3,HMO,Gerealiseerd,0.101,15,NV,Overijssel,52.51899,6.0629333,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.062932397,52.51898959
16975,SDE,SDE1723166,Dokter van Deenweg 186,8025 BM,"92,255",2017,2018,Q4,Waterschap Drents Overijsselse Delta,Gerealiseerd,0.078,15,WAT,Overijssel,52.508059,6.1258622,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.125861583,52.50805862
17016,SDE,SDE1724011,Lingenstraat 2,8028 PM,"1,860,651",2017,2021,Q2,Zehnder Group Zwolle B.V.,Gerealiseerd,1.404,15,BV,Overijssel,52.53467,6.1675392,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.167538873,52.53466976
17115,SDE,SDE1725996,Grasdorpstraat 2,8012 EN,"214,691",2017,2020,Q2,BAM Energy Systems,Gerealiseerd,0.186,15,BV,Overijssel,52.508377,6.1040543,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.104053576,52.50837658
17342,SDE,SDE1730292,Frankhuizerallee 1a,8043 GS,"110,462",2017,2018,Q4,Kuiper van der Meulen B.V.,Gerealiseerd,0.0783,15,BV,Overijssel,52.524128,6.0635617,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.063560805,52.52412762
17665,SDE,SDE1736844,Nipkowstraat 1c,8013 RJ,"153,459",2017,2019,Q1,Pvefh SPV 4 B.V.,Gerealiseerd,0.121,15,BV,Overijssel,52.494547,6.1390944,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.139093795,52.49454663
17710,SDE,SDE1737640,"Marsweg 3, 3B & 3T",8013 PD,"76,608",2017,2019,Q2,PASAR Holding B.V.,Gerealiseerd,0.064,15,BV,Overijssel,52.499075,6.1239317,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.123931044,52.4990746
17752,SDE,SDE1738258,Paxtonstraat 7,8013 RP,"208,962",2017,2018,Q1,Smile Energy 3 B.V.,Gerealiseerd,0.156,15,BV,Overijssel,52.489252,6.1395124,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.139511774,52.48925162
17888,SDE,SDE1741564,Hoekerweg 1,8042 PH,"141,075",2017,2020,Q2,Handelsmij Van der Kamp B.V.,Gerealiseerd,0.1,15,BV,Overijssel,52.513713,6.0535751,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.053574154,52.51371258
18142,SDE,SDE1746131,Lingenstraat 4,8028 PM,"329,175",2017,2018,Q4,Transferro B.V.,Gerealiseerd,0.275,15,BV,Overijssel,52.53467,6.1675392,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.167538873,52.53466976
18366,SDE,SDE1749966,***,8026**,"190,238",2017,2019,Q4,Geanonimiseerd,Gerealiseerd,0.15,15,MTS,Overijssel,52.520888,6.1831097,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.183109401,52.52088776
18409,SDE,SDE1750793,Marsweg 49,8013 PE,"303,440",2017,2020,Q1,TABS Holland Energy B.V.,Gerealiseerd,0.234,15,BV,Overijssel,52.481464,6.1364218,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.136421127,52.48146361
18564,SDE,SDE1754102,Forelkolk 108,8017 PK,"86,696",2017,2019,Q2,Schelle Levensmiddelenbedrijven Zwolle B.V.,Gerealiseerd,0.0733,15,BV,Overijssel,52.498252,6.0944104,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.094409606,52.49825154
18638,SDE,SDE1755287,Zandwinning Zwolle,,"35,938,500",2017,2020,Q3,Zonnepark PV3 B.V.,Gerealiseerd,26,15,BV,Overijssel,52.5072,6.097708,Zonne-energie,Zon-PV,Zonne-energie 10 - 30 MW,Regio West-Overijssel,Zwolle,ZWOLLE,6.097707242,52.50719956
18649,SDE,SDE1755467,Lingenstraat 1,8028 PM,"798,998",2017,2022,Q1,Klein Holding Vastgoed B.V.,Gerealiseerd,0.63,15,BV,Overijssel,52.53467,6.1675392,Zonne-energie,Zon-PV >= 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.167538873,52.53466976
18756,SDE,SDE1757778,Botterweg 16,8042 PA,"119,928",2017,2020,Q2,HMO,Gerealiseerd,0.09248,15,NV,Overijssel,52.515632,6.0572346,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.057233669,52.51563158
18950,SDE,SDE1761295,***,8013**,"98,753",2017,2019,Q1,Geanonimiseerd,Gerealiseerd,0.0825,15,VOF,Overijssel,52.504722,6.1225094,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.122508756,52.50472161
19216,SDE,SDE1766422,Russenweg 24,8041 AL,"282,504",2017,2020,Q2,B.V. Leeuwbouw,Gerealiseerd,0.22275,15,BV,Overijssel,52.514537,6.0658382,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.065837306,52.51453657
19246,SDE,SDE1766928,Ravensburgstraat 4,8028 PZ,"879,795",2017,2019,Q4,Koninklijke Euroma B.V.,Gerealiseerd,0.735,15,BV,Overijssel,52.544049,6.1764078,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.176407542,52.54404879
19314,SDE,SDE1768074,Curieweg 1,8013 RA,"235,895",2017,2020,Q1,Naproz B.V.,Gerealiseerd,0.186,15,BV,Overijssel,52.500033,6.1299002,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.129899575,52.50003261
19329,SDE,SDE1768276,Hyacinthstraat 66a,8013 XZ,"28,728",2017,2020,Q1,"Vogellanden, centrum voor Revalidatie en Bijzondere Tandheelkunde",Gerealiseerd,0.024,15,STICH,Overijssel,52.502694,6.1188548,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.118854132,52.50269359
19334,SDE,SDE1768373,Nieuwe Deventerweg 129,8014 AE,"34,713",2017,2019,Q3,KWS Infra Zwolle,Gerealiseerd,0.029,15,BV,Overijssel,52.486958,6.1148244,Zonne-energie,Zon-PV,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.114823663,52.48695756
19589,SDE,SDE1773095,Bedrijventerrein Hessenpoort,,"5,094,090",2017,2020,Q1,Zonneweide Hessenpoort B.V.,Gerealiseerd,3.972,15,BV,Overijssel,52.5072,6.097708,Zonne-energie,Zon-PV >= 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.097707242,52.50719956
19662,SDE,SDE1774279,Nipkowstraat 1b,8013 RJ,"134,435",2017,2019,Q1,Pvefh SPV 4 B.V.,Gerealiseerd,0.106,15,BV,Overijssel,52.494547,6.1390944,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.139093795,52.49454663
