OBJECTID;Programma;Projectnummer;Indienronde;Realisatiejaar;Kwartaal;Aanvrager;Status;Vermogen;Maximale_subsidie;Looptijd;Rechtsvorm;Provincie;Latitude;Longitude;Categorie;Thema;label;RES_regio;Gemeente;Plaats;x;y
10730;SDE;SDE1308118;2013;2015;Q4;ENGIE Energie Zonnepark Harculo B.V.;Gerealiseerd;1.01;1010;15;BV;Overijssel;52.468.987;61.067.627;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;610.676.187.320.943;524.689.865.618.148
10744;SDE;SDE1312395;2013;2016;Q4;PostNL Real Estate B.V.;Gerealiseerd;0.302;302;15;BV;Overijssel;52.494.547;61.390.944;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.909.379.453.576;524.945.466.280.647
10949;SDE;SDE1355367;2013;2015;Q3;Warehouses De Pauw Nederland N.V.;Gerealiseerd;250.614;2506.14;15;NV;Overijssel;52.546.132;61.753.688;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.536.854.340.798;525.461.317.945.762
11304;SDE;SDE1406477;2014;2017;Q2;Pvefh SPV 3 B.V.;Gerealiseerd;0.388;388;15;BV;Overijssel;52.517.043;60.780.913;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;607.809.046.574.558;525.170.425.805.483
11472;SDE;SDE1413144;2014;2017;Q4;Pvefh SPV 2 B.V.;Gerealiseerd;0.131;131;15;BV;Overijssel;52.512.395;61.017.768;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;610.177.607.493.705;525.123.945.854.968
11495;SDE;SDE1413974;2014;2018;Q2;International Solar Projects III B.V.;Gerealiseerd;0.035;35;15;BV;Overijssel;52.508.059;61.258.622;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.586.158.296.968;525.080.586.215.403
11577;SDE;SDE1416923;2014;2016;Q3;Enexis B.V.;Gerealiseerd;0.151;151;15;BV;Overijssel;52.499.075;61.239.317;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;61.239.310.439.681;524.990.745.973.196
11664;SDE;SDE1420318;2014;2018;Q4;Businesspark Zwolle B.V.;Gerealiseerd;0.252;252;15;BV;Overijssel;52.520.953;61.209.318;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.093.119.840.523;525.209.526.494.961
11779;SDE;SDE1424058;2014;2017;Q2;Warehouses De Pauw Nederland N.V.;Gerealiseerd;0.6;600;15;NV;Overijssel;52.534.526;61.729.359;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.293.559.692.422;525.345.257.683.622
12069;SDE;SDE1435533;2014;2017;Q3;Eneco Solar B.V.;Gerealiseerd;0.0351;35.1;15;BV;Overijssel;52.504.583;60.714.896;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;607.148.871.951.032;525.045.825.334.653
12070;SDE;SDE1435749;2014;2018;Q1;Pvefh SPV 3 B.V.;Gerealiseerd;0.36;360;15;BV;Overijssel;52.522.145;61.240.136;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.401.301.797.465;525.221.446.590.186
12316;SDE;SDE1446485;2014;2017;Q4;EPS Zwolle B.V.;Gerealiseerd;5.367;5367;15;BV;Overijssel;52.514.537;60.658.382;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;606.583.730.588.812;525.145.365.697.676
12443;SDE;SDE1452225;2014;2018;Q2;Stamco B.V.;Gerealiseerd;0.423;423;15;BV;Overijssel;52.513.713;60.535.751;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;605.357.415.430.799;525.137.125.752.155
12474;SDE;SDE1453641;2014;2017;Q4;Eneco Solar B.V.;Gerealiseerd;0.4124;412.4;15;BV;Overijssel;52.498.722;60.724.315;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;607.243.061.637.148;524.987.215.160.259
12481;SDE;SDE1453942;2014;2016;Q3;Rova Activa Beheer B.V.;Gerealiseerd;0.239;239;15;BV;Overijssel;52.533.595;61.769.997;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.699.941.283.935;5.253.359.477.178
12529;SDE;SDE1455867;2014;2018;Q2;Pvefh SPV 2 B.V.;Gerealiseerd;0.167;167;15;BV;Overijssel;52.509.803;60.797.528;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;607.975.196.105.587;52.509.802.549.829
12561;SDE;SDE1457080;2014;2017;Q4;Pvefh SPV 2 B.V.;Gerealiseerd;0.166;166;15;BV;Overijssel;5.250.489;61.145.449;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;611.454.421.798.829;525.048.895.901.928
12656;SDE;SDE1460167;2014;2015;Q2;Stichting Vrije Evangelisatie Zwolle;Gerealiseerd;0.102;102;15;STICH;Overijssel;52.515.414;60.758.396;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;607.583.875.266.248;525.154.135.731.342
12657;SDE;SDE1460201;2014;2018;Q3;Geanonimiseerd;Gerealiseerd;0.198;198;15;;Overijssel;52.504.722;61.225.094;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.250.875.583.464;52.504.721.606.626
12660;SDE;SDE1460371;2014;2018;Q2;Esco Molenhoek B.V.;Gerealiseerd;0.2;200;15;BV;Overijssel;52.481.464;61.364.218;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.642.112.664.788;524.814.636.115.804
13253;SDE;SDE1483593;2014;2017;Q1;Warehouses De Pauw Nederland N.V.;Gerealiseerd;1;1000;15;NV;Overijssel;52.540.578;61.715.785;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.157.820.920.058;525.405.777.794.051
13285;SDE;SDE1485177;2014;2017;Q2;Pvefh SPV 3 B.V.;Gerealiseerd;0.16952;169.52;15;BV;Overijssel;52.491.784;61.244.631;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;6.124.462.419.783;524.917.835.907.126
13301;SDE;SDE1485893;2014;2018;Q1;Zon op Zorg B.V.;Gerealiseerd;0.072;72;15;BV;Overijssel;52.505.857;61.073.148;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;610.731.408.549.709;525.058.565.781.063
13371;SDE;SDE1488193;2014;2015;Q1;IKEA B.V.;Gerealiseerd;0.85436;854.36;15;BV;Overijssel;52.532.596;61.624.347;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;616.243.434.275.778;52.532.595.751.085
13410;SDE;SDE1500029;2015;2016;Q4;BeGreen Overijssel B.V.;Gerealiseerd;0.9;3600;12;BV;Overijssel;52.525.852;61.232.457;Biomassa;Ketel vaste biomassa < 5 MW (HW);Biomassa 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.324.512.499.745;525.258.516.706.663
13789;SDE;SDE1609205;2016;2018;Q1;Stichting Catent;Gerealiseerd;0.017;16.15;15;STICH;Overijssel;52.555.559;60.399.575;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;603.995.649.108.198;525.555.588.236.471
13890;SDE;SDE1613909;2016;2019;Q2;ProRail B.V.;Gerealiseerd;0.288;273.6;15;BV;Overijssel;52.506.791;60.912.692;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;609.126.841.065.031;525.067.905.548.801
13966;SDE;SDE1617655;2016;2017;Q1;Stichting Clubhuis S.V.I.;Gerealiseerd;0.05327;50.6;15;STICH;Overijssel;52.473.662;61.135.382;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;611.353.741.017.781;524.736.615.651.831
14105;SDE;SDE1624039;2016;2018;Q3;Christelijke Hogeschool Windesheim;Gerealiseerd;0.4;380;15;STICH;Overijssel;52.501.026;60.803.517;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;608.035.084.969.936;525.010.255.241.333
14165;SDE;SDE1627202;2016;2019;Q1;Stichting Epilepsie Instellingen Nederland;Gerealiseerd;0.2384;226.48;15;STICH;Overijssel;52.517.973;61.265.787;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.657.811.826.689;525.179.726.507.466
14234;SDE;SDE1630599;2016;2019;Q2;Gemeente Zwolle;Gerealiseerd;0.023;21.85;15;GEM;Overijssel;52.508.943;60.938.137;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;609.381.292.742.634;525.089.425.639.758
14319;SDE;SDE1634793;2016;2017;Q4;Bus Vastgoed B.V.;Gerealiseerd;0.035;33.25;15;BV;Overijssel;52.530.155;61.725.409;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.254.058.203.267;525.301.547.595.651
14903;SDE;SDE1663545;2016;2019;Q3;Gemeente Zwolle;Gerealiseerd;0.162;153.9;15;GEM;Overijssel;52.516.907;60.842.113;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;608.421.049.615.495;525.169.065.844.073
14984;SDE;SDE1667088;2016;2021;Q3;Golfclub Zwolle;Gerealiseerd;0.0165;15.68;15;VER;Overijssel;52.498.614;61.484.783;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;614.847.775.511.626;524.986.136.549.694
15240;SDE;SDE1679947;2016;2018;Q2;Vivente, Stichting voor Christelijk Primair Onderwijs;Gerealiseerd;0.028;26.6;15;STICH;Overijssel;52.555.559;60.399.575;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;603.995.649.108.198;525.555.588.236.471
15317;SDE;SDE1683433;2016;2019;Q1;Space-Winner Zwolle B.V.;Gerealiseerd;0.135;128.25;15;BV;Overijssel;52.489.252;61.395.124;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.951.177.410.453;524.892.516.231.519
15433;SDE;SDE1689450;2016;2019;Q1;Stichting Epilepsie Instellingen Nederland;Gerealiseerd;0.04292;40.77;15;STICH;Overijssel;52.541.343;60.560.669;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;605.606.598.203.025;525.413.427.230.122
15608;SDE;SDE1698513;2016;2017;Q1;Fiori Vastgoed B.V.;Gerealiseerd;0.024;22.8;15;BV;Overijssel;52.518.058;60.967.737;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;609.677.296.301.812;525.180.576.015.551
16160;SDE;SDE1707177;2017;2019;Q3;O. de Leeuw B.V.;Gerealiseerd;0.091;86.45;15;BV;Overijssel;52.515.414;60.758.396;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;607.583.875.266.248;525.154.135.731.342
16420;SDE;SDE1712017;2017;2019;Q2;Waterschap Drents Overijsselse Delta;Gerealiseerd;0.722;4110.75;12;WAT;Overijssel;52.510.421;60.426.833;Biomassa;RWZI thermofiele gisting slib (HEW);Biomassa 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;604.268.231.499.838;525.104.205.776.872
16689;SDE;SDE1717669;2017;2020;Q2;Stichting Marktstede Vastgoedfonds III;Gerealiseerd;0.13;123.5;15;STICH;Overijssel;52.507.456;61.026.053;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;610.260.456.655.255;525.074.555.729.338
16783;SDE;SDE1719471;2017;2019;Q4;Wecovi Vastgoed B.V.;Gerealiseerd;0.275;261.25;15;BV;Overijssel;52.494.627;61.251.695;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.516.883.330.063;524.946.265.953.876
16798;SDE;SDE1719737;2017;2020;Q3;HMO;Gerealiseerd;0.101;95.95;15;NV;Overijssel;5.251.899;60.629.333;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;606.293.239.689.523;525.189.895.918.321
16975;SDE;SDE1723166;2017;2018;Q4;Waterschap Drents Overijsselse Delta;Gerealiseerd;0.078;74.1;15;WAT;Overijssel;52.508.059;61.258.622;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.586.158.296.968;525.080.586.215.403
17016;SDE;SDE1724011;2017;2021;Q2;Zehnder Group Zwolle B.V.;Gerealiseerd;1.404;1333.8;15;BV;Overijssel;5.253.467;61.675.392;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;616.753.887.257.047;525.346.697.619.942
17115;SDE;SDE1725996;2017;2020;Q2;BAM Energy Systems;Gerealiseerd;0.186;176.7;15;BV;Overijssel;52.508.377;61.040.543;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;610.405.357.613.654;525.083.765.781.326
17342;SDE;SDE1730292;2017;2018;Q4;Kuiper van der Meulen B.V.;Gerealiseerd;0.0783;74.39;15;BV;Overijssel;52.524.128;60.635.617;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;606.356.080.490.759;525.241.276.169.985
17665;SDE;SDE1736844;2017;2019;Q1;Pvefh SPV 4 B.V.;Gerealiseerd;0.121;114.95;15;BV;Overijssel;52.494.547;61.390.944;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.909.379.453.576;524.945.466.280.647
17710;SDE;SDE1737640;2017;2019;Q2;PASAR Holding B.V.;Gerealiseerd;0.064;60.8;15;BV;Overijssel;52.499.075;61.239.317;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;61.239.310.439.681;524.990.745.973.196
17752;SDE;SDE1738258;2017;2018;Q1;Smile Energy 3 B.V.;Gerealiseerd;0.156;148.2;15;BV;Overijssel;52.489.252;61.395.124;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.951.177.410.453;524.892.516.231.519
17888;SDE;SDE1741564;2017;2020;Q2;Handelsmij Van der Kamp B.V.;Gerealiseerd;0.1;95;15;BV;Overijssel;52.513.713;60.535.751;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;605.357.415.429.604;525.137.125.752.168
18142;SDE;SDE1746131;2017;2018;Q4;Transferro B.V.;Gerealiseerd;0.275;261.25;15;BV;Overijssel;5.253.467;61.675.392;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;616.753.887.257.047;525.346.697.619.942
18366;SDE;SDE1749966;2017;2019;Q4;Geanonimiseerd;Gerealiseerd;0.15;142.5;15;MTS;Overijssel;52.520.888;61.831.097;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;61.831.094.014.565;525.208.877.600.362
18409;SDE;SDE1750793;2017;2020;Q1;TABS Holland Energy B.V.;Gerealiseerd;0.234;222.3;15;BV;Overijssel;52.481.464;61.364.218;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.642.112.664.788;524.814.636.115.804
18564;SDE;SDE1754102;2017;2019;Q2;Schelle Levensmiddelenbedrijven Zwolle B.V.;Gerealiseerd;0.0733;69.64;15;BV;Overijssel;52.498.252;60.944.104;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;60.944.096.064.123;524.982.515.365.613
18638;SDE;SDE1755287;2017;2020;Q3;Zonnepark PV3 B.V.;Gerealiseerd;26;24700;15;BV;Overijssel;525.072;6.097.708;Zonne-energie;Zon-PV;Zonne-energie 10 - 30 MW;Regio West-Overijssel;Zwolle;ZWOLLE;609.770.724.204.459;525.071.995.639.608
18649;SDE;SDE1755467;2017;2022;Q1;Klein Holding Vastgoed B.V.;Gerealiseerd;0.63;598.5;15;BV;Overijssel;5.253.467;61.675.392;Zonne-energie;Zon-PV >= 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;616.753.887.257.047;525.346.697.619.942
18756;SDE;SDE1757778;2017;2020;Q2;HMO;Gerealiseerd;0.09248;87.86;15;NV;Overijssel;52.515.632;60.572.346;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;605.723.366.917.796;525.156.315.791.249
18950;SDE;SDE1761295;2017;2019;Q1;Geanonimiseerd;Gerealiseerd;0.0825;78.38;15;VOF;Overijssel;52.504.722;61.225.094;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.250.875.583.464;52.504.721.606.626
19216;SDE;SDE1766422;2017;2020;Q2;B.V. Leeuwbouw;Gerealiseerd;0.22275;211.61;15;BV;Overijssel;52.514.537;60.658.382;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;606.583.730.588.812;525.145.365.697.676
19246;SDE;SDE1766928;2017;2019;Q4;Koninklijke Euroma B.V.;Gerealiseerd;0.735;698.25;15;BV;Overijssel;52.544.049;61.764.078;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.640.754.173.514;525.440.487.912.557
19314;SDE;SDE1768074;2017;2020;Q1;Naproz B.V.;Gerealiseerd;0.186;176.7;15;BV;Overijssel;52.500.033;61.299.002;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;61.298.995.746.603;525.000.326.134.435
19329;SDE;SDE1768276;2017;2020;Q1;Vogellanden, centrum voor Revalidatie en Bijzondere Tandheelkunde;Gerealiseerd;0.024;22.8;15;STICH;Overijssel;52.502.694;61.188.548;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;611.885.413.202.906;525.026.935.938.304
19334;SDE;SDE1768373;2017;2019;Q3;KWS Infra Zwolle;Gerealiseerd;0.029;27.55;15;BV;Overijssel;52.486.958;61.148.244;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;611.482.366.252.775;524.869.575.643.837
19589;SDE;SDE1773095;2017;2020;Q1;Zonneweide Hessenpoort B.V.;Gerealiseerd;3.972;3773.4;15;BV;Overijssel;525.072;6.097.708;Zonne-energie;Zon-PV >= 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;609.770.724.204.459;525.071.995.639.608
19662;SDE;SDE1774279;2017;2019;Q1;Pvefh SPV 4 B.V.;Gerealiseerd;0.106;100.7;15;BV;Overijssel;52.494.547;61.390.944;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.909.379.453.576;524.945.466.280.647
