OBJECTID;Programma;Projectnummer;Indienronde;Realisatiejaar;Kwartaal;Aanvrager;Status;Vermogen;Maximale_subsidie;Looptijd;Rechtsvorm;Provincie;Latitude;Longitude;Categorie;Thema;label;RES_regio;Gemeente;Plaats;x;y
20010;SDE;SDE1780894;2017;2019;Q2;AG Barista II B.V.;Gerealiseerd;0.028;26.6;15;BV;Overijssel;52.502.418;60.996.979;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;609.969.713.975.363;525.024.175.538.761
20113;SDE;SDE1782787;2017;2020;Q3;Zonnepark PV1 B.V.;Gerealiseerd;14.52;13794;15;BV;Overijssel;52.484.774;61.406.342;Zonne-energie;Zon-PV;Zonne-energie 10 - 30 MW;Regio West-Overijssel;Zwolle;ZWOLLE;614.063.355.914.551;524.847.736.221.147
20125;SDE;SDE1782949;2017;2020;Q2;Breman Beheer B.V.;Gerealiseerd;0.28;266;15;BV;Overijssel;52.517.561;60.605.245;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;606.052.358.425.649;525.175.605.851.532
20172;SDE;SDE1783928;2017;2019;Q2;Geanonimiseerd;Gerealiseerd;0.198;188.1;15;MTS;Overijssel;52.471.081;61.084.907;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;610.848.988.514.917;524.710.805.609.426
20346;SDE;SDE1787432;2017;2019;Q3;Blankert Shortlease B.V.;Gerealiseerd;0.1415;134.43;15;BV;Overijssel;52.499.075;61.239.317;Zonne-energie;Zon-PV < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;61.239.310.439.681;524.990.745.973.196
20498;SDE;SDE1790468;2017;2019;Q3;Energiepark Zwolle B.V.;Gerealiseerd;5.15;4892.5;15;BV;Overijssel;52.509.288;61.377.469;Zonne-energie;Zon-PV >= 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.774.634.520.209;525.092.876.504.869
20709;SDE;SDE1794932;2017;2018;Q4;Pento Audiologisch Centrum Zwolle;Gerealiseerd;0.0154;14.63;15;STICH;Overijssel;525.059;60.944.711;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;609.447.032.378.476;525.058.995.563.884
21037;SDE;SDE1810265;2018;2020;Q1;Geanonimiseerd;Gerealiseerd;0.208;197.6;15;MTS;Overijssel;52.520.888;61.831.097;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;61.831.094.014.565;525.208.877.600.362
21130;SDE;SDE1810675;2018;2021;Q4;Investeer in Energie B.V.;Gerealiseerd;0.48427;460.06;15;BV;Overijssel;52.514.537;60.658.382;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;606.583.730.588.812;525.145.365.697.676
21846;SDE;SDE1814475;2018;2020;Q4;Leger des Heils Welzijns- en Gezondheidszorg;Gerealiseerd;0.034;32.3;15;STICH;Overijssel;52.501.861;60.854.736;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;608.547.277.416.051;525.018.605.333.713
22079;SDE;SDE1815635;2018;2019;Q4;Warehouses De Pauw Nederland N.V.;Gerealiseerd;1.581;1501.95;15;NV;Overijssel;52.546.132;61.753.688;Zonne-energie;Zon-PV >= 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.536.854.340.798;525.461.317.945.762
22128;SDE;SDE1815882;2018;2019;Q4;Res Mancipi II B.V.;Gerealiseerd;0.0155;14.73;15;BV;Overijssel;52.517.953;60.891.236;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;608.912.282.343.024;52.517.952.593.786
22406;SDE;SDE1817271;2018;2018;Q4;Nieuwenhuijse Zwolle B.V.;Gerealiseerd;0.0729;69.26;15;BV;Overijssel;52.540.887;61.698.482;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;616.984.790.229.316;525.408.867.783.462
22409;SDE;SDE1817282;2018;2023;Q2;HMO;Gerealiseerd;0.794;754.3;15;NV;Overijssel;52.521.272;61.170.045;Zonne-energie;Zon-PV >= 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;611.700.387.860.086;525.212.716.440.333
22855;SDE;SDE1819551;2018;2020;Q1;Zonneweide Hessenpoort B.V.;Gerealiseerd;3.65;3467.5;15;BV;Overijssel;525.072;6.097.708;Zonne-energie;Zon-PV >= 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;609.770.724.204.459;525.071.995.639.608
23011;SDE;SDE1820339;2018;2020;Q3;DHL International B.V.;Gerealiseerd;0.136;129.2;15;BV;Overijssel;52.534.526;61.729.359;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.293.559.692.422;525.345.257.683.622
23015;SDE;SDE1820351;2018;2021;Q3;Geanonimiseerd;Gerealiseerd;0.097;92.15;15;MTS;Overijssel;52.556.157;61.743.608;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.436.056.586.241;525.561.568.125.367
23087;SDE;SDE1820614;2018;2021;Q3;Geanonimiseerd;Gerealiseerd;0.49;465.5;15;1MANS;Overijssel;52.471.081;61.084.907;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;610.848.988.514.917;524.710.805.609.426
23208;SDE;SDE1821091;2018;2020;Q4;SWZ Woningcorporatie;Gerealiseerd;0.027;25.65;15;STICH;Overijssel;5.251.334;6.083.944;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;608.394.318.795.658;525.133.395.680.637
23265;SDE;SDE1821296;2018;2020;Q1;Koffiebranderij Mocca d'Or B.V.;Gerealiseerd;0.099;94.05;15;BV;Overijssel;52.500.033;61.299.002;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;61.298.995.746.603;525.000.326.134.435
23473;SDE;SDE1822155;2018;2019;Q3;T.T. Motoren Zwolle B.V.;Gerealiseerd;0.11275;107.11;15;BV;Overijssel;52.499.075;61.239.317;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;61.239.310.439.681;524.990.745.973.196
23582;SDE;SDE1822538;2018;2019;Q3;Geanonimiseerd;Gerealiseerd;0.15;142.5;15;MTS;Overijssel;52.583.911;61.922.607;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;619.226.055.458.693;525.839.108.229.318
23678;SDE;SDE1822875;2018;2019;Q3;Stichting Kringloop Zwolle;Gerealiseerd;0.056;53.2;15;STICH;Overijssel;524.922;61.073.333;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;610.733.254.716.109;524.921.995.540.986
23791;SDE;SDE1823332;2018;2020;Q2;SWZ Woningcorporatie;Gerealiseerd;0.124;117.8;15;STICH;Overijssel;52.500.024;61.102.217;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;611.022.098.317.739;525.000.235.695.252
23807;SDE;SDE1823419;2018;2021;Q4;Dimencegroep;Gerealiseerd;0.198;188.1;15;STICH;Overijssel;52.534.548;60.490.296;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;604.902.864.103.272;52.534.547.694.013
23914;SDE;SDE1823805;2018;2020;Q2;Vaber B.V.;Gerealiseerd;0.395;375.25;15;BV;Overijssel;52.461.786;61.451.947;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;61.451.939.611.058;524.617.856.297.164
24285;SDE;SDE1825179;2018;2022;Q3;Ruitersportcentrum Zwolle B.V.;Gerealiseerd;0.45;427.5;15;BV;Overijssel;52.478.497;61.273.252;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;61.273.244.784.958;524.784.965.912.046
24489;SDE;SDE1825987;2018;2021;Q1;FP Lux REIO PV Netherlands Zwolle B.V.;Gerealiseerd;16.272;15458.4;15;BV;Overijssel;525.072;6.097.708;Zonne-energie;Zon-PV >= 1 MWp;Zonne-energie 10 - 30 MW;Regio West-Overijssel;Zwolle;ZWOLLE;609.770.724.204.459;525.071.995.639.608
24990;SDE;SDE1827899;2018;2021;Q2;Roordink Bedrijfswagens Zwolle B.V.;Gerealiseerd;0.131;124.45;15;BV;Overijssel;52.511.849;60.512.535;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;605.125.254.519.866;525.118.485.695.854
25176;SDE;SDE1828650;2018;2021;Q2;Dimencegroep;Gerealiseerd;0.05;47.5;15;STICH;Overijssel;52.534.548;60.490.296;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;604.902.864.103.272;52.534.547.694.013
25205;SDE;SDE1828745;2018;2021;Q3;Pro Solar 1 B.V.;Gerealiseerd;0.265;251.75;15;BV;Overijssel;5.249.111;61.367.629;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.676.227.011.403;524.911.096.187.652
25267;SDE;SDE1828977;2018;2019;Q4;Koninklijke Euroma B.V.;Gerealiseerd;0.065;61.75;15;BV;Overijssel;52.544.049;61.764.078;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.640.754.173.514;525.440.487.912.557
25322;SDE;SDE1829178;2018;2020;Q2;Alm Holding B.V.;Gerealiseerd;0.183;173.85;15;BV;Overijssel;52.490.822;61.408.806;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;614.087.998.676.605;524.908.216.281.338
25779;SDE;SDE1910975;2019;2021;Q2;Geanonimiseerd;Gerealiseerd;0.11;104.5;15;VOF;Overijssel;52.539.386;60.322.984;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;603.229.735.531.188;525.393.857.525.807
26930;SDE;SDE1915766;2019;2020;Q1;Breman Zwolle B.V.;Gerealiseerd;0.2;190;15;BV;Overijssel;52.499.958;61.337.614;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.376.079.220.247;524.999.576.223.677
26950;SDE;SDE1915850;2019;2023;Q3;PM Investment B.V.;Gerealiseerd;0.71012;674.61;15;BV;Overijssel;52.534.526;61.729.359;Zonne-energie;Zon-PV >= 1 MWp daksystemen;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.293.559.692.422;525.345.257.683.622
26985;SDE;SDE1916001;2019;2020;Q3;Bas Vastgoed B.V.;Gerealiseerd;0.324;307.8;15;BV;Overijssel;52.491.784;61.244.631;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;6.124.462.419.783;524.917.835.907.126
27179;SDE;SDE1916830;2019;2021;Q4;De Herfte Beheer B.V.;Gerealiseerd;0.777;738.15;15;BV;Overijssel;52.509.288;61.377.469;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.774.634.520.209;525.092.876.504.869
27374;SDE;SDE1917615;2019;2020;Q4;Carema Hardware B.V.;Gerealiseerd;0.1;95;15;BV;Overijssel;52.530.155;61.725.409;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.254.058.203.267;525.301.547.595.651
27878;SDE;SDE1919560;2019;2020;Q4;Geanonimiseerd;Gerealiseerd;0.0896;85.12;15;CV;Overijssel;525.072;6.097.708;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;609.770.724.204.459;525.071.995.639.608
28204;SDE;SDE1922881;2019;2019;Q4;Geanonimiseerd;Gerealiseerd;0.015;24.5;15;MTS;Overijssel;52.520.888;61.831.097;Windenergie;Wind op land;Windenergie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;61.831.094.014.565;525.208.877.600.362
28434;SDE;SDE1926239;2019;2021;Q1;Broodjes Express B.V.;Gerealiseerd;0.045;42.75;15;BV;Overijssel;52.489.908;61.252.912;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.529.051.644.211;524.899.075.906.467
28468;SDE;SDE1926706;2019;2021;Q3;PostNL Real Estate B.V.;Gerealiseerd;0.526;499.7;15;BV;Overijssel;52.497.947;61.213.956;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.139.492.837.818;524.979.465.900.382
28470;SDE;SDE1926725;2019;2021;Q1;Nooter Technische Installaties B.V.;Gerealiseerd;0.07;66.5;15;BV;Overijssel;52.489.523;6.127.931;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.793.032.619.976;524.895.225.963.829
28580;SDE;SDE1928282;2019;2023;Q1;PATHÉ THEATRES B.V.;Gerealiseerd;0.138;131.1;15;BV;Overijssel;52.515.489;60.885.447;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;608.854.391.535.702;525.154.885.824.649
28643;SDE;SDE1929527;2019;2020;Q4;Geanonimiseerd;Gerealiseerd;0.015;23.5;15;MTS;Overijssel;52.556.157;61.743.608;Windenergie;Wind op land;Windenergie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.436.056.586.241;525.561.568.125.367
28670;SDE;SDE1929902;2019;2022;Q2;Waterschap Drents Overijsselse Delta;Gerealiseerd;0.7423;705.19;15;WAT;Overijssel;52.510.421;60.426.833;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;604.268.231.499.838;525.104.205.776.872
29015;SDE;SDE2011409;2020;2021;Q3;Stichting Zwolle Circulair I;Gerealiseerd;0.6714;637.83;15;STICH;Overijssel;52.492.857;61.428.715;Zonne-energie;Zon-PV >= 1 MWp daksysteem;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;614.287.090.432.958;524.928.566.351.249
29161;SDE;SDE2012036;2020;2021;Q1;SWZ Woningcorporatie;Gerealiseerd;0.064;60.8;15;STICH;Overijssel;52.495.671;61.358.006;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.579.998.455.912;524.956.706.215.304
29443;SDE;SDE2013174;2020;2021;Q3;Stichting Pensioenfonds Rail & Openbaar Vervoer;Gerealiseerd;0.065;61.75;15;STICH;Overijssel;52.504.783;60.838.541;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;608.385.327.204.773;525.047.825.398.451
29519;SDE;SDE2013495;2020;2021;Q4;Alfred Holding Zwolle B.V.;Gerealiseerd;0.499;474.05;15;BV;Overijssel;52.492.857;61.428.715;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;614.287.090.432.958;524.928.566.351.249
29578;SDE;SDE2013704;2020;2022;Q4;CEIREF Luxembourg Propco 2 S.a.r.l.;Gerealiseerd;0.059;56.05;15;BTL;Overijssel;52.494.547;61.390.944;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.909.379.453.576;524.945.466.280.647
29971;SDE;SDE2015226;2020;2020;Q3;Geanonimiseerd;Gerealiseerd;0.015;28;15;MTS;Overijssel;52.556.157;61.743.608;Windenergie;Wind op land;Windenergie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.436.056.586.241;525.561.568.125.367
30357;SDE;SDE2016637;2020;2022;Q1;SWZ Woningcorporatie;Gerealiseerd;0.06;57;15;STICH;Overijssel;52.500.024;61.102.217;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;611.022.098.317.739;525.000.235.695.252
30448;SDE;SDE2017001;2020;2021;Q4;Frion;Gerealiseerd;0.053;50.35;15;STICH;Overijssel;52.480.771;61.069.515;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;610.695.071.092.788;524.807.705.503.628
30484;SDE;SDE2017144;2020;2022;Q4;Univé Diensten;Gerealiseerd;0.065;61.75;15;BV;Overijssel;52.503.188;60.843.461;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;608.434.527.146.097;525.031.875.357.838
30651;SDE;SDE2017771;2020;2021;Q3;Stichting Zwolle Circulair I;Gerealiseerd;0.11745;111.58;15;STICH;Overijssel;52.533.595;61.769.997;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.699.941.283.935;5.253.359.477.178
31156;SDE;SDE2019952;2020;2021;Q2;FP Lux REIO PV Netherlands Zwolle B.V.;Gerealiseerd;2.474;2350.3;15;BV;Overijssel;5.246.374;61.231.535;Zonne-energie;Zon-PV >= 1 MWp veld- of watersysteem;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.315.270.205.729;524.637.395.927.715
31415;SDE;SDE2021851;2020;2023;Q2;Andre Janssen Beheer B.V.;Gerealiseerd;0.056;53.2;15;BV;Overijssel;52.487.745;61.314.385;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.143.783.409.443;524.877.446.026.305
31719;SDE;SDE2024584;2020;2021;Q3;Frion;Gerealiseerd;0.07;66.5;15;STICH;Overijssel;52.480.771;61.069.515;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;610.695.071.092.788;524.807.705.503.628
32299;SDE;SDE2028980;2020;2023;Q2;Tiem B.V.;Gerealiseerd;0.72078;684.74;15;BV;Overijssel;5.253.467;61.675.392;Zonne-energie;Zon-PV >= 1 MWp daksysteem;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;616.753.887.257.047;525.346.697.619.942
32939;SDE;SDE2113603;2021;2024;Q2;Waterschap Drents Overijsselse Delta;Gerealiseerd;0.759;721.05;15;WAT;Overijssel;52.533.595;61.769.997;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp veld- of watersysteem;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.699.941.285.352;525.335.947.717.786
33723;SDE;SDE2119174;2021;2024;Q1;Stichting Sport & Vitaliteit Zwolle;Gerealiseerd;0.435;391.5;15;STICH;Overijssel;52.522.145;61.240.136;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp daksysteem;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.401.301.798.787;525.221.446.590.172
33729;SDE;SDE2119207;2021;2023;Q3;Driezorg Woonzorgcentrum Berkumstede;Gerealiseerd;0.102;91.8;15;STICH;Overijssel;52.525.419;61.402.064;Zonne-energie;Zon-PV >= 15 kWp en < 1 MWp daksysteem;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;614.020.591.249.847;525.254.186.980.133
